date,price,log_return,trade,trade_action,position
1/1/2018,13657.2002,0,0,hold,0
2/1/2018,14982.09961,0.09258926,0,hold,0
3/1/2018,15201,0.014505086,0,hold,0
4/1/2018,15599.2002,0.025858428,0,hold,0
5/1/2018,17429.5,0.11094453,0,hold,0
6/1/2018,17527,0.005578376,0,hold,0
7/1/2018,16477.59961,-0.06174069,0,hold,0
8/1/2018,15170.09961,-0.0826755,0,hold,0
9/1/2018,14595.40039,-0.038619922,0,hold,0
10/1/2018,14973.2998,0.025562165,0,hold,0
11/1/2018,13405.7998,-0.110581167,0,hold,0
12/1/2018,13980.59961,0.041983192,0,hold,0
13/1/2018,14360.2002,0.026789878,0,hold,0
14/1/2018,13772,-0.041822959,0,hold,0
15/1/2018,13819.7998,0.003464787,0,hold,0
16/1/2018,11490.5,-0.184581725,0,hold,0
17/1/2018,11188.59961,-0.026625239,0,hold,0
18/1/2018,11474.90039,0.025266707,0,hold,0
19/1/2018,11607.40039,0.011480784,0,hold,0
20/1/2018,12899.2002,0.10552245,0,hold,0
21/1/2018,11600.09961,-0.106151624,0,hold,0
22/1/2018,10931.40039,-0.059374268,0,hold,0
23/1/2018,10868.40039,-0.005779885,0,hold,0
24/1/2018,11359.40039,0.044186097,0,hold,0
25/1/2018,11259.40039,-0.008842259,0,hold,0
26/1/2018,11171.40039,-0.007846394,0,hold,0
27/1/2018,11440.7002,0.023820214,0,hold,0
28/1/2018,11786.2998,0.029760633,0,hold,0
29/1/2018,11296.40039,-0.042453698,0,hold,0
30/1/2018,10106.2998,-0.111325153,0,hold,0
31/1/2018,10221.09961,0.0112952,0,hold,0
1/2/2018,9170.540039,-0.108457996,0,hold,0
2/2/2018,8830.75,-0.037756228,1,buy,1
3/2/2018,9174.910156,0.038232653,0,hold,1
4/2/2018,8277.009766,-0.102990838,0,hold,1
5/2/2018,6955.27002,-0.173982115,0,hold,1
6/2/2018,7754,0.108709191,0,hold,1
7/2/2018,7621.299805,-0.017261906,0,hold,1
8/2/2018,8265.589844,0.081154162,0,hold,1
9/2/2018,8736.980469,0.055463551,0,hold,1
10/2/2018,8621.900391,-0.013259123,0,hold,1
11/2/2018,8129.970215,-0.058748263,0,hold,1
12/2/2018,8926.570313,0.093474998,0,hold,1
13/2/2018,8598.30957,-0.037466635,0,hold,1
14/2/2018,9494.629883,0.099160741,-1,sell,0
15/2/2018,10166.40039,0.06836184,0,hold,0
16/2/2018,10233.90039,0.006617574,0,hold,0
17/2/2018,11112.7002,0.082382839,0,hold,0
18/2/2018,10551.7998,-0.051792173,0,hold,0
19/2/2018,11225.2998,0.061873699,0,hold,0
20/2/2018,11403.7002,0.015767739,0,hold,0
21/2/2018,10690.40039,-0.064591702,0,hold,0
22/2/2018,10005,-0.066261211,0,hold,0
23/2/2018,10301.09961,0.02916568,0,hold,0
24/2/2018,9813.070313,-0.048535445,0,hold,0
25/2/2018,9664.730469,-0.015231978,0,hold,0
26/2/2018,10366.7002,0.07011554,0,hold,0
27/2/2018,10725.59961,0.034034606,0,hold,0
28/2/2018,10397.90039,-0.031029471,0,hold,0
1/3/2018,10951,0.051826876,0,hold,0
2/3/2018,11086.40039,0.012288391,0,hold,0
3/3/2018,11489.7002,0.035731832,0,hold,0
4/3/2018,11512.59961,0.001991055,0,hold,0
5/3/2018,11573.2998,0.00525865,0,hold,0
6/3/2018,10779.90039,-0.071017379,0,hold,0
7/3/2018,9965.570313,-0.078547142,0,hold,0
8/3/2018,9395.009766,-0.058957511,0,hold,0
9/3/2018,9337.549805,-0.006134788,0,hold,0
10/3/2018,8866,-0.051820148,1,buy,1
11/3/2018,9578.629883,0.077310827,0,hold,1
12/3/2018,9205.120117,-0.0397747,0,hold,1
13/3/2018,9194.849609,-0.001116361,0,hold,1
14/3/2018,8269.80957,-0.10603202,0,hold,1
15/3/2018,8300.860352,0.003747684,0,hold,1
16/3/2018,8338.349609,0.004506142,0,hold,1
17/3/2018,7916.879883,-0.051868134,0,hold,1
18/3/2018,8223.679688,0.038020585,0,hold,1
19/3/2018,8630.650391,0.048302107,0,hold,1
20/3/2018,8913.469727,0.032243719,0,hold,1
21/3/2018,8929.280273,0.00177221,0,hold,1
22/3/2018,8728.469727,-0.02274573,0,hold,1
23/3/2018,8879.620117,0.017168711,0,hold,1
24/3/2018,8668.120117,-0.024106835,0,hold,1
25/3/2018,8495.780273,-0.020082339,0,hold,1
26/3/2018,8209.400391,-0.034289715,0,hold,1
27/3/2018,7833.040039,-0.046929197,0,hold,1
28/3/2018,7954.47998,0.0153846,0,hold,1
29/3/2018,7165.700195,-0.104429509,0,hold,1
30/3/2018,6890.52002,-0.039159224,0,hold,1
31/3/2018,6973.529785,0.011974965,0,hold,1
1/4/2018,6844.22998,-0.018715563,0,hold,1
2/4/2018,7083.799805,0.034404501,0,hold,1
3/4/2018,7456.109863,0.051223353,0,hold,1
4/4/2018,6853.839844,-0.084224756,0,hold,1
5/4/2018,6811.470215,-0.006201069,0,hold,1
6/4/2018,6636.319824,-0.026050421,0,hold,1
7/4/2018,6911.089844,0.040569779,0,hold,1
8/4/2018,7023.52002,0.016137175,0,hold,1
9/4/2018,6770.72998,-0.036655613,0,hold,1
10/4/2018,6834.759766,0.009412415,0,hold,1
11/4/2018,6968.319824,0.019352816,0,hold,1
12/4/2018,7889.25,0.124126936,-1,sell,0
13/4/2018,7895.959961,0.000850158,0,hold,0
14/4/2018,7986.240234,0.011368859,0,hold,0
15/4/2018,8329.110352,0.04203656,-1,sell,-1
16/4/2018,8058.669922,-0.033008129,0,hold,-1
17/4/2018,7902.089844,-0.019621259,0,hold,-1
18/4/2018,8163.419922,0.032535928,0,hold,-1
19/4/2018,8294.30957,0.015906496,0,hold,-1
20/4/2018,8845.830078,0.064376485,0,hold,-1
21/4/2018,8895.580078,0.005608363,0,hold,-1
22/4/2018,8802.459961,-0.01052331,0,hold,-1
23/4/2018,8930.879883,0.014483698,0,hold,-1
24/4/2018,9697.5,0.082353199,0,hold,-1
25/4/2018,8845.740234,-0.091932107,0,hold,-1
26/4/2018,9281.509766,0.04808821,0,hold,-1
27/4/2018,8987.049805,-0.032239593,0,hold,-1
28/4/2018,9348.480469,0.039429183,0,hold,-1
29/4/2018,9419.080078,0.007523614,0,hold,-1
30/4/2018,9240.549805,-0.019136041,0,hold,-1
1/5/2018,9119.009766,-0.013240167,0,hold,-1
2/5/2018,9235.919922,0.012739001,0,hold,-1
3/5/2018,9743.860352,0.053537158,0,hold,-1
4/5/2018,9700.759766,-0.00443317,0,hold,-1
5/5/2018,9858.150391,0.016094355,0,hold,-1
6/5/2018,9654.799805,-0.020843383,0,hold,-1
7/5/2018,9373.009766,-0.029620923,0,hold,-1
8/5/2018,9234.820313,-0.014853101,0,hold,-1
9/5/2018,9325.179688,0.009737079,0,hold,-1
10/5/2018,9043.94043,-0.030623267,1,buy,0
11/5/2018,8441.490234,-0.068936107,1,buy,1
12/5/2018,8504.889648,0.00748239,0,hold,1
13/5/2018,8723.94043,0.025429769,0,hold,1
14/5/2018,8716.790039,-0.000819965,0,hold,1
15/5/2018,8510.379883,-0.023964474,0,hold,1
16/5/2018,8368.830078,-0.016772482,0,hold,1
17/5/2018,8094.319824,-0.03335154,0,hold,1
18/5/2018,8250.969727,0.019168177,0,hold,1
19/5/2018,8247.179688,-0.00045945,0,hold,1
20/5/2018,8513.25,0.031752487,0,hold,1
21/5/2018,8418.990234,-0.011133877,0,hold,1
22/5/2018,8041.779785,-0.045839471,0,hold,1
23/5/2018,7557.819824,-0.062067659,0,hold,1
24/5/2018,7587.339844,0.003898283,0,hold,1
25/5/2018,7480.140137,-0.014229522,0,hold,1
26/5/2018,7355.879883,-0.016751549,0,hold,1
27/5/2018,7368.220215,0.001676209,0,hold,1
28/5/2018,7135.990234,-0.03202516,0,hold,1
29/5/2018,7472.589844,0.046090612,0,hold,1
30/5/2018,7406.52002,-0.008880942,0,hold,1
31/5/2018,7494.169922,0.011764678,0,hold,1
1/6/2018,7541.450195,0.006289123,0,hold,1
2/6/2018,7643.450195,0.0134346,0,hold,1
3/6/2018,7720.25,0.009997649,0,hold,1
4/6/2018,7514.470215,-0.027016223,0,hold,1
5/6/2018,7633.759766,0.015749961,0,hold,1
6/6/2018,7653.97998,0.002645287,0,hold,1
7/6/2018,7678.240234,0.003164613,-1,sell,0
8/6/2018,7624.919922,-0.006968564,0,hold,0
9/6/2018,7531.97998,-0.012263868,0,hold,0
10/6/2018,6786.02002,-0.104293336,1,buy,1
11/6/2018,6906.919922,0.01765918,0,hold,1
12/6/2018,6582.359863,-0.048130473,0,hold,1
13/6/2018,6349.899902,-0.035954274,0,hold,1
14/6/2018,6675.350098,0.049982603,0,hold,1
15/6/2018,6456.580078,-0.033321874,0,hold,1
16/6/2018,6550.160156,0.014389723,0,hold,1
17/6/2018,6499.27002,-0.007799635,0,hold,1
18/6/2018,6734.819824,0.035601191,0,hold,1
19/6/2018,6769.939941,0.005201158,0,hold,1
20/6/2018,6776.549805,0.000975878,0,hold,1
21/6/2018,6729.740234,-0.006931549,0,hold,1
22/6/2018,6083.689941,-0.100925135,0,hold,1
23/6/2018,6162.47998,0.012867881,0,hold,1
24/6/2018,6173.22998,0.001742908,0,hold,1
25/6/2018,6249.180176,0.012228085,0,hold,1
26/6/2018,6093.669922,-0.025199769,0,hold,1
27/6/2018,6157.129883,0.010360226,0,hold,1
28/6/2018,5903.439941,-0.042075519,0,hold,1
29/6/2018,6218.299805,0.051961304,0,hold,1
30/6/2018,6404,0.029426269,0,hold,1
1/7/2018,6385.819824,-0.002842915,0,hold,1
2/7/2018,6614.180176,0.035135976,-1,sell,0
3/7/2018,6529.589844,-0.012871726,0,hold,0
4/7/2018,6597.549805,0.010354208,0,hold,0
5/7/2018,6639.140137,0.006284119,0,hold,0
6/7/2018,6673.5,0.005162002,0,hold,0
7/7/2018,6856.930176,0.027115385,0,hold,0
8/7/2018,6773.879883,-0.012185823,0,hold,0
9/7/2018,6741.75,-0.004754487,0,hold,0
10/7/2018,6329.950195,-0.063027167,0,hold,0
11/7/2018,6394.709961,0.010178712,0,hold,0
12/7/2018,6228.810059,-0.026285767,0,hold,0
13/7/2018,6238.049805,0.00148229,0,hold,0
14/7/2018,6276.120117,0.006084372,0,hold,0
15/7/2018,6359.640137,0.01321982,0,hold,0
16/7/2018,6741.75,0.058347742,0,hold,0
17/7/2018,7321.040039,0.082432865,-1,sell,-1
18/7/2018,7370.779785,0.006771106,0,hold,-1
19/7/2018,7466.859863,0.012951038,0,hold,-1
20/7/2018,7354.129883,-0.0152125,0,hold,-1
21/7/2018,7419.290039,0.008821326,0,hold,-1
22/7/2018,7418.490234,-0.000107807,0,hold,-1
23/7/2018,7711.109863,0.038686564,0,hold,-1
24/7/2018,8424.269531,0.088454642,0,hold,-1
25/7/2018,8181.390137,-0.02925469,0,hold,-1
26/7/2018,7951.580078,-0.028491419,0,hold,-1
27/7/2018,8165.009766,0.026487262,0,hold,-1
28/7/2018,8192.150391,0.003318504,0,hold,-1
29/7/2018,8218.459961,0.003206412,0,hold,-1
30/7/2018,8180.47998,-0.004632013,0,hold,-1
31/7/2018,7780.439941,-0.050137942,0,hold,-1
1/8/2018,7624.910156,-0.020192345,0,hold,-1
2/8/2018,7567.149902,-0.007604042,1,buy,0
3/8/2018,7434.390137,-0.017699947,0,hold,0
4/8/2018,7032.850098,-0.055524508,0,hold,0
5/8/2018,7068.47998,0.005053418,0,hold,0
6/8/2018,6951.799805,-0.01664487,0,hold,0
7/8/2018,6753.120117,-0.028995953,0,hold,0
8/8/2018,6305.799805,-0.068534824,1,buy,1
9/8/2018,6568.22998,0.040774573,0,hold,1
10/8/2018,6184.709961,-0.060164276,0,hold,1
11/8/2018,6295.72998,0.017791512,0,hold,1
12/8/2018,6322.689941,0.004273119,0,hold,1
13/8/2018,6297.569824,-0.003980924,0,hold,1
14/8/2018,6199.709961,-0.015661306,0,hold,1
15/8/2018,6308.52002,0.017398593,0,hold,1
16/8/2018,6334.72998,0.004146086,0,hold,1
17/8/2018,6580.629883,0.038083278,0,hold,1
18/8/2018,6423.759766,-0.024126888,0,hold,1
19/8/2018,6506.069824,0.012731981,0,hold,1
20/8/2018,6308.529785,-0.030832908,0,hold,1
21/8/2018,6488.759766,0.028168761,0,hold,1
22/8/2018,6376.709961,-0.017419129,0,hold,1
23/8/2018,6534.879883,0.024501682,-1,sell,0
24/8/2018,6719.959961,0.02792823,0,hold,0
