date,price,log_return,bollinger_trade,bollinger_trade_action,bollinger_position,macd_trade,macd_trade_action,macd_position,trend_strength,position,trade
2018-01-01,13657.2002,0.0,0,hold,0,0,hold,0,,0,0.0
2018-01-02,14982.09961,0.09258926,0,hold,0,0,hold,0,,0,0.0
2018-01-03,15201.0,0.014505086,0,hold,0,1,buy,1,,0,0.0
2018-01-04,15599.2002,0.025858428,0,hold,0,0,hold,1,,0,0.0
2018-01-05,17429.5,0.11094453,0,hold,0,0,hold,1,,0,0.0
2018-01-06,17527.0,0.005578376,0,hold,0,0,hold,1,,0,0.0
2018-01-07,16477.59961,-0.06174069,0,hold,0,0,hold,1,,0,0.0
2018-01-08,15170.09961,-0.0826755,0,hold,0,0,hold,1,,0,0.0
2018-01-09,14595.40039,-0.038619922,0,hold,0,0,hold,1,,0,0.0
2018-01-10,14973.2998,0.025562165,0,hold,0,0,hold,1,,0,0.0
2018-01-11,13405.7998,-0.110581167,0,hold,0,0,hold,1,,0,0.0
2018-01-12,13980.59961,0.041983192,0,hold,0,-1,sell,0,,0,0.0
2018-01-13,14360.2002,0.026789878,0,hold,0,0,hold,0,,0,0.0
2018-01-14,13772.0,-0.041822959,0,hold,0,0,hold,0,,0,0.0
2018-01-15,13819.7998,0.003464787,0,hold,0,0,hold,0,,0,0.0
2018-01-16,11490.5,-0.184581725,0,hold,0,0,hold,0,,0,0.0
2018-01-17,11188.59961,-0.026625239,0,hold,0,0,hold,0,,0,0.0
2018-01-18,11474.90039,0.025266707,0,hold,0,0,hold,0,,0,0.0
2018-01-19,11607.40039,0.011480784,0,hold,0,0,hold,0,,0,0.0
2018-01-20,12899.2002,0.10552245,0,hold,0,0,hold,0,,0,0.0
2018-01-21,11600.09961,-0.106151624,0,hold,0,0,hold,0,,0,0.0
2018-01-22,10931.40039,-0.059374268,0,hold,0,0,hold,0,,0,0.0
2018-01-23,10868.40039,-0.005779885,0,hold,0,0,hold,0,,0,0.0
2018-01-24,11359.40039,0.044186097,0,hold,0,0,hold,0,,0,0.0
2018-01-25,11259.40039,-0.008842259,0,hold,0,0,hold,0,,0,0.0
2018-01-26,11171.40039,-0.007846394,0,hold,0,0,hold,0,,0,0.0
2018-01-27,11440.7002,0.023820214,0,hold,0,0,hold,0,,0,0.0
2018-01-28,11786.2998,0.029760633,0,hold,0,0,hold,0,,0,0.0
2018-01-29,11296.40039,-0.042453698,0,hold,0,0,hold,0,,0,0.0
2018-01-30,10106.2998,-0.111325153,0,hold,0,0,hold,0,,0,0.0
2018-01-31,10221.09961,0.0112952,0,hold,0,0,hold,0,-0.1735535903400249,0,0.0
2018-02-01,9170.540039,-0.108457996,0,hold,0,0,hold,0,-0.29765991529504326,0,0.0
2018-02-02,8830.75,-0.037756228,1,buy,1,0,hold,0,-0.3242674554735289,0,0.0
2018-02-03,9174.910156,0.038232653,0,hold,1,0,hold,0,-0.32792032870260784,0,0.0
2018-02-04,8277.009766,-0.102990838,0,hold,1,0,hold,0,-0.4905237064916175,0,0.0
2018-02-05,6955.27002,-0.173982115,0,hold,1,0,hold,0,-0.5317009604516675,0,0.0
2018-02-06,7754.0,0.108709191,0,hold,1,0,hold,0,-0.44435208814721394,0,0.0
2018-02-07,7621.299805,-0.017261906,0,hold,1,0,hold,0,-0.4089854707402278,0,0.0
2018-02-08,8265.589844,0.081154162,0,hold,1,0,hold,0,-0.3416538503703853,0,0.0
2018-02-09,8736.980469,0.055463551,0,hold,1,0,hold,0,-0.3349175590986153,0,0.0
2018-02-10,8621.900391,-0.013259123,0,hold,1,0,hold,0,-0.27865144316227514,0,0.0
2018-02-11,8129.970215,-0.058748263,0,hold,1,0,hold,0,-0.34243902269029586,0,0.0
2018-02-12,8926.570313,0.093474998,0,hold,1,0,hold,0,-0.3104546240071645,0,0.0
2018-02-13,8598.30957,-0.037466635,0,hold,1,1,buy,1,-0.300059214852973,1,1.0
2018-02-14,9494.629883,0.099160741,-1,sell,0,0,hold,1,-0.2390818207447847,1,0.0
2018-02-15,10166.40039,0.06836184,0,hold,0,0,hold,1,-0.08057455539378372,0,-1.0
