date,price,log_return,position_macd,position_boll,vol_ratio,sma_slope,regime,position,strategy_source,trade,trade_action
2019-01-01,3843.52001953125,0.0265812249520003,1,0,1.11740682894988,17.8284912109375,Trend,1,macd,0,hold
2019-01-02,3943.409423828125,0.025657066653891,1,0,1.0859766469707588,31.486608886718386,Trend,1,macd,0,hold
2019-01-03,3836.7412109375,-0.027422321806192,1,0,1.0895065692467816,29.712817382812773,Trend,1,macd,0,hold
2019-01-04,3857.717529296875,0.0054523316149208,1,0,1.0614937240332212,31.04779052734375,Trend,1,macd,0,hold
2019-01-05,3845.194580078125,-0.0032514872489332,1,0,1.0166699985647392,29.61777343750009,Trend,1,macd,0,hold
2019-01-06,4076.632568359375,0.0584470890549057,1,0,1.0215024716824133,26.53839111328125,Trend,1,macd,0,hold
2019-01-07,4025.248291015625,-0.0126847005573856,1,0,1.0235087021661995,16.459460449218568,Trend,1,macd,0,hold
2019-01-08,4030.847900390625,0.0013901547706836,1,0,1.0110004223460511,14.244860839843568,Trend,1,macd,0,hold
2019-01-09,4035.29638671875,0.0011030020343775,1,0,1.0050931608842146,-4.957250976562136,Trend,1,macd,0,hold
2019-01-10,3678.924560546875,-0.0924592824929815,1,0,1.064575274162268,-10.880957031250091,Trend,1,macd,0,hold
2019-01-11,3687.365478515625,0.0022917701090901,1,0,1.0621299162229643,-16.34085693359384,Trend,1,macd,0,hold
2019-01-12,3661.301025390625,-0.0070936849314874,1,0,1.0354288005230006,-16.883959960937318,Trend,1,macd,0,hold
2019-01-13,3552.953125,-0.0300394317908952,1,0,1.0483275830526575,-26.282299804687682,Trend,1,macd,0,hold
2019-01-14,3706.05224609375,0.0421881015929448,0,0,1.0541797270467448,-5.471923828125,Trend,0,macd,-1,sell
2019-01-15,3630.67529296875,-0.0205485633725479,0,0,1.0593141110754387,-11.33111572265625,Trend,0,macd,0,hold
2019-01-16,3655.0068359375,0.0066793014015464,0,0,0.9893094465837333,0.0086669921875,Trend,0,macd,0,hold
2019-01-17,3678.56396484375,0.0064244855803284,0,0,0.9718205262599261,-12.267736816406341,Trend,0,macd,0,hold
2019-01-18,3657.83935546875,-0.0056498160197321,0,0,0.9704086078949381,-8.128466796874818,Trend,0,macd,0,hold
2019-01-19,3728.568359375,0.0191517090587386,0,0,0.8614533333884237,-6.869213867187682,Trend,0,macd,0,hold
2019-01-20,3601.013671875,-0.0348089607689146,0,0,0.8338068622564027,-7.084338378906068,Trend,0,macd,0,hold
2019-01-21,3576.032470703125,-0.0069614439036554,0,0,0.8208414952887271,-13.374377441406523,Trend,0,macd,0,hold
2019-01-22,3604.5771484375,0.0079505305564709,0,0,0.8221712566831245,-16.94161376953116,Trend,0,macd,0,hold
2019-01-23,3585.123046875,-0.005411671839448,0,0,0.8154126438388322,-12.580908203125091,Trend,0,macd,0,hold
2019-01-24,3600.865478515625,0.0043814311055097,0,0,0.7646394365117803,-12.842602539062227,Trend,0,macd,0,hold
2019-01-25,3599.765869140625,-0.0003054202695449,0,0,0.7624991731192575,-12.271435546875182,Trend,0,macd,0,hold
2019-01-26,3602.46044921875,0.0007482631299659,0,0,0.7253966638493995,-23.708605957031068,Range,0,boll,0,hold
2019-01-27,3583.9658203125,-0.0051471118032038,0,0,0.6488857287848637,-22.06412353515634,Range,0,boll,0,hold
2019-01-28,3470.450439453125,-0.0321855631491495,0,0,0.6520093972938187,-28.01987304687509,Range,0,boll,0,hold
2019-01-29,3448.116943359375,-0.0064561266610713,0,1,0.6485493508700129,-29.35897216796866,Range,0,neutral,0,hold
2019-01-30,3486.181640625,0.010978782970954,0,1,0.6381619455417951,-9.63714599609375,Range,0,neutral,0,hold
2019-01-31,3457.792724609375,-0.008176606850343,0,1,0.6249275358159903,-11.4786376953125,Range,0,neutral,0,hold
2019-02-01,3487.9453125,0.008682382533651,0,1,0.6129551286558352,-8.66778564453125,Range,0,neutral,0,hold
2019-02-02,3521.060791015625,0.0094494781257734,0,1,0.6059446404756291,-1.594616699218932,Range,0,neutral,0,hold
2019-02-03,3464.013427734375,-0.0163344382344475,0,1,0.6077120661033022,-12.101940917968477,Range,0,neutral,0,hold
2019-02-04,3459.154052734375,-0.0014038013125416,0,1,0.6080780275284753,-8.576062011718932,Range,0,neutral,0,hold
2019-02-05,3466.357421875,0.0020802425249583,0,1,0.5403061447122264,-9.432470703125091,Range,0,neutral,0,hold
2019-02-06,3413.767822265625,-0.0152876937500929,0,1,0.541048573037664,-13.23980712890625,Range,0,neutral,0,hold
2019-02-07,3399.4716796875,-0.004196583300843,0,1,0.5401917892918527,-12.918383789062318,Range,0,neutral,0,hold
2019-02-08,3666.7802734375,0.0756939360941569,0,0,0.6341995300216392,-3.089404296874818,Range,0,boll,0,hold
2019-02-09,3671.20361328125,0.0012056010064354,1,0,0.4940794245806295,3.509497070312136,Range,0,boll,0,hold
2019-02-10,3690.188232421875,0.0051578999263515,1,0,0.49429934760463373,5.707788085937864,Range,0,boll,0,hold
2019-02-11,3648.4306640625,-0.0113803481619821,1,0,0.4958098466724322,2.192675781249818,Range,0,boll,0,hold
2019-02-12,3653.528564453125,0.0013963105132088,1,0,0.4922373266031748,3.420275878906068,Range,0,boll,0,hold
2019-02-13,3632.070556640625,-0.005890543660869,1,0,0.4551792534575158,1.560253906250182,Range,0,boll,0,hold
2019-02-14,3616.880859375,-0.0041908735831722,1,0,0.4464252759540562,0.855749511718841,Range,0,boll,0,hold
2019-02-15,3620.810791015625,0.001085962822589,1,0,0.4453268657223051,0.917517089843841,Range,0,boll,0,hold
2019-02-16,3629.78759765625,0.0024761573448381,1,0,0.4448117774579191,2.291088867187227,Range,0,boll,0,hold
2019-02-17,3673.836181640625,0.0120622637191248,1,0,0.4792016378943042,10.169287109375091,Range,0,boll,0,hold
2019-02-18,3915.71435546875,0.0637613818317888,1,-1,0.5679430740331071,23.379870605468568,Range,-1,boll,-1,sell
2019-02-19,3947.094482421875,0.0079819551019106,1,-1,0.5410485559256031,23.045642089844023,Range,-1,boll,0,hold
2019-02-20,3999.820556640625,0.0132697650984953,1,-1,0.5460786724383218,27.101391601562227,Range,-1,boll,0,hold
2019-02-21,3954.1181640625,-0.0114918902823277,1,-1,0.5503956333163812,23.308642578125273,Range,-1,boll,0,hold
2019-02-22,4005.526611328125,0.0129174513564714,1,-1,0.5809646809107297,24.22329101562491,Range,-1,boll,0,hold
2019-02-23,4142.52685546875,0.0336308928630514,1,-1,0.6009565721381315,33.92567138671893,Range,-1,boll,0,hold
2019-02-24,3810.427490234375,-0.0835645682052934,1,-1,0.7420986881097499,17.563671874999727,Range,-1,boll,0,hold
2019-02-25,3882.6962890625,0.0187884471459767,1,-1,0.746235477344998,20.816943359375273,Range,-1,boll,0,hold
2019-02-26,3854.35791015625,-0.0073253992798098,1,-1,0.7881278709482711,22.02950439453116,Range,-1,boll,0,hold
2019-02-27,3851.04736328125,-0.0008592791582579,1,-1,0.7650323556293686,22.578784179687318,Range,-1,boll,0,hold
2019-02-28,3854.785400390625,0.0009701838898456,1,-1,0.7778776666446137,9.400256347656523,Range,-1,boll,0,hold
2019-03-01,3859.583740234375,0.0012440007407169,1,-1,0.7862690522621992,9.41900634765625,Range,-1,boll,0,hold
2019-03-02,3864.4150390625,0.0012509840035555,1,-1,0.784768147804498,8.711340332030886,Trend,1,macd,2,
2019-03-03,3847.17578125,-0.0044710065489127,1,-1,0.8007818337703647,9.937255859375,Trend,1,macd,0,hold
2019-03-04,3761.55712890625,-0.0225063140968968,0,0,0.8118521818477458,5.40142822265625,Trend,0,macd,-1,sell
2019-03-05,3896.375,0.0352136320131541,0,0,0.8317678392419027,13.215222167968932,Trend,0,macd,0,hold
2019-03-06,3903.942626953125,0.0019403387629408,0,0,0.8508809089958483,14.35308837890625,Trend,0,macd,0,hold
2019-03-07,3911.484375,0.0019299650258204,0,0,0.855415851585629,14.533679199218568,Trend,0,macd,0,hold
2019-03-08,3901.131591796875,-0.0026502747112911,0,0,0.8495167327493597,13.56719970703125,Trend,0,macd,0,hold
2019-03-09,3963.313720703125,0.0158138107108478,0,0,0.8563792466583605,14.473876953125,Trend,0,macd,0,hold
2019-03-10,3951.599853515625,-0.0029599503848159,0,0,0.7460800402309541,1.7942749023441138,Range,0,boll,0,hold
2019-03-11,3905.227294921875,-0.011804535394846,0,0,0.7526318014935212,-2.093359375000091,Range,0,boll,0,hold
2019-03-12,3909.15625,0.0010055701480762,0,0,0.7536579896685773,-4.533215332031432,Range,0,boll,0,hold
2019-03-13,3906.71728515625,-0.0006241055237,0,0,0.7620201945240506,-2.370043945312318,Range,0,boll,0,hold
2019-03-14,3924.369140625,0.004508157464902,0,0,0.7647341443154674,-4.057873535156432,Range,0,boll,0,hold
2019-03-15,3960.9111328125,0.0092684730316987,0,0,0.7638550181179439,-9.080786132812591,Range,0,boll,0,hold
2019-03-16,4048.725830078125,0.0219281389164555,0,-1,0.769238618744544,11.9149169921875,Range,-1,boll,-1,sell
2019-03-17,4025.22900390625,-0.0058204171286504,1,-1,0.8071988008476081,7.126635742187773,Range,-1,boll,0,hold
2019-03-18,4032.50732421875,0.0018065426803688,1,-1,0.8162503507562513,8.907470703125,Range,-1,boll,0,hold
2019-03-19,4071.190185546875,0.0095470382739586,1,-1,0.8157491941932385,11.00714111328125,Range,-1,boll,0,hold
2019-03-20,4087.476318359375,0.0039923569462326,1,-1,0.7640216428634282,11.634545898437409,Range,-1,boll,0,hold
2019-03-21,4029.326904296875,-0.0143284017903384,1,-1,0.7912927272607458,8.487158203125091,Range,-1,boll,0,hold
2019-03-22,4023.96826171875,-0.0013307952232004,1,-1,0.7918318042439032,7.9776611328125,Range,-1,boll,0,hold
2019-03-23,4035.826416015625,0.0029425471310994,1,-1,0.7873499073154944,9.432531738281341,Range,-1,boll,0,hold
2019-03-24,4022.168212890625,-0.0033899789796233,1,-1,0.7851462948524687,13.030554199218386,Range,-1,boll,0,hold
2019-03-25,3963.070556640625,-0.0148019957754375,0,0,0.7806034465258481,3.33477783203125,Range,0,boll,1,buy
2019-03-26,3985.080810546875,0.0055384728228034,0,0,0.46172963330059824,4.056909179687864,Range,0,boll,0,hold
2019-03-27,4087.066162109375,0.0252698021617776,0,0,0.48884158488405727,8.779089355468386,Range,0,boll,0,hold
2019-03-28,4069.107177734375,-0.0044037841400318,0,0,0.5111265971136622,8.398779296875091,Range,0,boll,0,hold
2019-03-29,4098.37451171875,0.0071668258025051,0,0,0.5163082813440296,6.753039550781523,Range,0,boll,0,hold
2019-03-30,4106.66015625,0.0020196495646784,0,0,0.5169171298885488,7.753015136718659,Range,0,boll,0,hold
2019-03-31,4105.404296875,-0.0003058571670884,0,0,0.5236188406509507,10.00885009765625,Range,0,boll,0,hold
2019-04-01,4158.18310546875,0.012773998435311,1,0,0.5339051163554438,12.451342773437318,Range,0,boll,0,hold
2019-04-02,4879.8779296875,0.1600419797683949,1,-1,1.11937625259561,48.65803222656268,Range,-1,boll,-1,sell
2019-04-03,4973.02197265625,0.0189074929695084,1,-1,1.1071451074224328,52.43264160156241,Range,-1,boll,0,hold
2019-04-04,4922.798828125,-0.010150461847883,1,-1,1.098447032253281,48.094384765625364,Range,-1,boll,0,hold
2019-04-05,5036.68115234375,0.0228701273913103,1,-1,1.0991727490222851,49.39776611328125,Range,-1,boll,0,hold
2019-04-06,5059.8173828125,0.0045830286380139,1,-1,1.1244103637790772,51.72941894531232,Range,-1,boll,0,hold
2019-04-07,5198.89697265625,0.0271160901487464,1,-1,1.1251844307094028,58.319482421874454,Range,-1,boll,0,hold
2019-04-08,5289.77099609375,0.017328472526209,1,-1,1.1238709799285047,60.929040527344114,Range,-1,boll,0,hold
2019-04-09,5204.95849609375,-0.0161632267879214,1,-1,1.1311085696761078,55.874108886719114,Range,-1,boll,0,hold
2019-04-10,5324.5517578125,0.0227168029339171,1,-1,1.2084600566312746,64.76124267578052,Range,-1,boll,0,hold
2019-04-11,5064.48779296875,-0.0500755252871914,1,-1,1.2517843552619197,52.025976562500546,Range,-1,boll,0,hold
2019-04-12,5089.5390625,0.0049342631676371,1,-1,1.2514659714803198,52.685632324218204,Range,-1,boll,0,hold
2019-04-13,5096.58642578125,0.0013837183556808,1,-1,1.2642513811468672,53.720910644531614,Range,-1,boll,0,hold
2019-04-14,5167.72216796875,0.0138610176152916,1,-1,1.2797027217397976,60.232580566405886,Range,-1,boll,0,hold
2019-04-15,5067.1083984375,-0.0196616856812465,1,-1,1.2922904787525245,54.10137939453125,Range,-1,boll,0,hold
2019-04-16,5235.5595703125,0.0327034095462467,1,-1,1.291502550892495,57.42467041015698,Range,-1,boll,0,hold
2019-04-17,5251.93798828125,0.0031234202806837,1,-1,1.2912224826619132,59.14154052734375,Range,-1,boll,0,hold
2019-04-18,5298.3857421875,0.0088050481064488,1,-1,1.2919968544264835,60.00056152343677,Range,-1,boll,0,hold
2019-04-19,5303.8125,0.0010237043606353,1,-1,1.295192395764503,59.85761718750018,Range,-1,boll,0,hold
2019-04-20,5337.88623046875,0.0064038360371123,1,-1,1.3012003649009498,61.62409667968768,Range,-1,boll,0,hold
2019-04-21,5314.53125,-0.0043849235036376,0,-1,1.3033448309232958,57.817407226562864,Range,-1,boll,0,hold
2019-04-22,5399.365234375,0.0158365833575133,0,-1,1.3019420312162298,25.974365234375,Range,-1,boll,0,hold
2019-04-23,5572.3623046875,0.0315376787102423,0,-1,1.3003615740323349,29.967016601562136,Range,-1,boll,0,hold
2019-04-24,5464.86669921875,-0.0194793465759446,0,-1,1.2990860342737343,27.1033935546875,Range,-1,boll,0,hold
2019-04-25,5210.515625,-0.0476609104068962,0,0,1.333882527827372,8.691723632812682,Range,0,boll,1,buy
2019-04-26,5279.34814453125,0.0131238134231589,0,0,1.3283021910890167,10.976538085937136,Range,0,boll,0,hold
2019-04-27,5268.291015625,-0.0020966081203074,0,0,1.327789754747514,3.4697021484380457,Range,0,boll,0,hold
