date,price,log_return,bollinger_trade,bollinger_trade_action,bollinger_position,macd_trade,macd_trade_action,macd_position,trend_strength,position,trade,asset_ret,trade_size
2018-01-01,13657.2002,0.0,0,hold,0,0,hold,0,,0,0.0,0.0,0.0
2018-01-02,14982.09961,0.09258926,0,hold,0,0,hold,0,,0,0.0,0.09701105575065094,0.0
2018-01-03,15201.0,0.014505086,0,hold,0,1,buy,1,,0,0.0,0.014610795262226972,0.0
2018-01-04,15599.2002,0.025858428,0,hold,0,0,hold,1,,0,0.0,0.02619565818038283,0.0
2018-01-05,17429.5,0.11094453,0,hold,0,0,hold,1,,0,0.0,0.11733292582526134,0.0
2018-01-06,17527.0,0.005578376,0,hold,0,0,hold,1,,0,0.0,0.005593964256002781,0.0
2018-01-07,16477.59961,-0.06174069,0,hold,0,0,hold,1,,0,0.0,-0.05987336052946879,0.0
2018-01-08,15170.09961,-0.0826755,0,hold,0,0,hold,1,,0,0.0,-0.07935014995791623,0.0
2018-01-09,14595.40039,-0.038619922,0,hold,0,0,hold,1,,0,0.0,-0.03788368137155551,0.0
2018-01-10,14973.2998,0.025562165,0,hold,0,0,hold,1,,0,0.0,0.025891678193283196,0.0
2018-01-11,13405.7998,-0.110581167,0,hold,0,0,hold,1,,0,0.0,-0.10468634308651192,0.0
2018-01-12,13980.59961,0.041983192,0,hold,0,-1,sell,0,,0,0.0,0.04287695016898563,0.0
2018-01-13,14360.2002,0.026789878,0,hold,0,0,hold,0,,0,0.0,0.02715195346331778,0.0
2018-01-14,13772.0,-0.041822959,0,hold,0,0,hold,0,,0,0.0,-0.040960445662867495,0.0
2018-01-15,13819.7998,0.003464787,0,hold,0,0,hold,0,,0,0.0,0.0034707958176010134,0.0
2018-01-16,11490.5,-0.184581725,0,hold,0,0,hold,0,,0,0.0,-0.16854801326427327,0.0
2018-01-17,11188.59961,-0.026625239,0,hold,0,0,hold,0,,0,0.0,-0.02627391236238641,0.0
2018-01-18,11474.90039,0.025266707,0,hold,0,0,hold,0,,0,0.0,0.025588616089551985,0.0
2018-01-19,11607.40039,0.011480784,0,hold,0,0,hold,0,,0,0.0,0.01154694119309907,0.0
2018-01-20,12899.2002,0.10552245,0,hold,0,0,hold,0,,0,0.0,0.1112910528280655,0.0
2018-01-21,11600.09961,-0.106151624,0,hold,0,0,hold,0,-0.1287450018488086,0,0.0,-0.10071171621942887,0.0
2018-01-22,10931.40039,-0.059374268,0,hold,0,0,hold,0,-0.26437315961145386,0,0.0,-0.0576459894726713,0.0
2018-01-23,10868.40039,-0.005779885,0,hold,0,0,hold,0,-0.2856784654584739,0,0.0,-0.005763214021291541,0.0
2018-01-24,11359.40039,0.044186097,0,hold,0,0,hold,0,-0.27785932463845586,0,0.0,0.04517684133644617,0.0
2018-01-25,11259.40039,-0.008842259,0,hold,0,0,hold,0,-0.4560815763343449,0,0.0,-0.008803281561237442,0.0
2018-01-26,11171.40039,-0.007846394,0,hold,0,0,hold,0,-0.4701235006508444,0,0.0,-0.007815691506819267,0.0
2018-01-27,11440.7002,0.023820214,0,hold,0,0,hold,0,-0.3953951781845571,0,0.0,0.02410618191082481,0.0
2018-01-28,11786.2998,0.029760633,0,hold,0,0,hold,0,-0.2873227552605139,0,0.0,0.030207906330768308,0.0
2018-01-29,11296.40039,-0.042453698,0,hold,0,0,hold,0,-0.2821539333983398,0,0.0,-0.04156515770963165,0.0
2018-01-30,10106.2998,-0.111325153,0,hold,0,0,hold,0,-0.3892229810555331,0,0.0,-0.10535219617866254,0.0
2018-01-31,10221.09961,0.0112952,0,hold,0,0,hold,0,-0.28816382361859255,0,0.0,0.011359232584807977,0.0
2018-02-01,9170.540039,-0.108457996,0,hold,0,0,hold,0,-0.41726968326941244,0,0.0,-0.10278341969900828,0.0
2018-02-02,8830.75,-0.037756228,1,buy,1,0,hold,0,-0.4813386967026715,0,0.0,-0.03705234779576316,0.0
2018-02-03,9174.910156,0.038232653,0,hold,1,0,hold,0,-0.40886246491386474,0,0.0,0.038972924836508716,0.0
2018-02-04,8277.009766,-0.102990838,0,hold,1,0,hold,0,-0.4583200729621336,0,0.0,-0.09786476104213537,0.0
2018-02-05,6955.27002,-0.173982115,0,hold,1,0,hold,0,-0.409089721499339,0,0.0,-0.1596880737569495,0.0
2018-02-06,7754.0,0.108709191,0,hold,1,0,hold,0,-0.29652125425992143,0,0.0,0.11483809797509492,0.0
2018-02-07,7621.299805,-0.017261906,0,hold,1,0,hold,0,-0.3371662286275396,0,0.0,-0.017113772891410917,0.0
2018-02-08,8265.589844,0.081154162,0,hold,1,0,hold,0,-0.2798562316900193,0,0.0,0.08453807821302473,0.0
2018-02-09,8736.980469,0.055463551,0,hold,1,0,hold,0,-0.3742747632993537,0,0.0,0.05703048831320645,0.0
2018-02-10,8621.900391,-0.013259123,0,hold,1,0,hold,0,-0.2997159471908813,0,0.0,-0.013171607560337417,0.0
2018-02-11,8129.970215,-0.058748263,0,hold,1,0,hold,0,-0.2870326561749657,0,0.0,-0.05705588718161281,0.0
2018-02-12,8926.570313,0.093474998,0,hold,1,0,hold,0,-0.18504951309034992,1,1.0,0.09798315085217069,1.0
2018-02-13,8598.30957,-0.037466635,0,hold,1,1,buy,1,-0.2672670577064949,1,0.0,-0.03677344506231539,0.0
2018-02-14,9494.629883,0.099160741,-1,sell,0,0,hold,1,-0.1586003864310333,0,-1.0,0.10424378253689692,1.0
2018-02-15,10166.40039,0.06836184,0,hold,0,0,hold,1,-0.08581732596642248,0,0.0,0.07075267970190136,0.0
2018-02-16,10233.90039,0.006617574,0,hold,0,0,hold,1,-0.1048559397562652,0,0.0,0.006639518158894742,0.0
2018-02-17,11112.7002,0.082382839,0,hold,0,0,hold,1,-0.055936021687649565,0,0.0,0.08587144456269225,0.0
2018-02-18,10551.7998,-0.051792173,0,hold,0,0,hold,1,-0.06146955493955693,0,0.0,-0.0504738173355922,0.0
