date,price,log_return,bollinger_trade,bollinger_trade_action,bollinger_position,macd_trade,macd_trade_action,macd_position,trend_strength,position,trade
2018-01-01,772.6409912,0.0,0,hold,0,0,hold,0,,0,0.0
2018-01-02,884.4439697,0.13514466,0,hold,0,0,hold,0,,0,0.0
2018-01-03,962.7199707,0.084803416,0,hold,0,1,buy,1,,0,0.0
2018-01-04,980.9219971,0.018730362,0,hold,0,0,hold,1,,0,0.0
2018-01-05,997.7199707,0.016979704,0,hold,0,0,hold,1,,0,0.0
2018-01-06,1041.680054,0.043117479,0,hold,0,0,hold,1,,0,0.0
2018-01-07,1153.170044,0.101679864,0,hold,0,0,hold,1,,0,0.0
2018-01-08,1148.530029,-0.004031821,0,hold,0,0,hold,1,,0,0.0
2018-01-09,1299.73999,0.123681348,0,hold,0,0,hold,1,,0,0.0
2018-01-10,1255.819946,-0.034375534,0,hold,0,0,hold,1,,0,0.0
2018-01-11,1154.930054,-0.08374892,0,hold,0,0,hold,1,,0,0.0
2018-01-12,1273.199951,0.097493595,0,hold,0,0,hold,1,,0,0.0
2018-01-13,1396.420044,0.092378472,0,hold,0,0,hold,1,,0,0.0
2018-01-14,1366.77002,-0.021461544,0,hold,0,0,hold,1,,0,0.0
2018-01-15,1291.920044,-0.056320788,0,hold,0,0,hold,1,,0,0.0
2018-01-16,1053.689941,-0.203831284,0,hold,0,0,hold,1,,0,0.0
2018-01-17,1014.25,-0.03814881,0,hold,0,0,hold,1,,0,0.0
2018-01-18,1036.280029,0.021487983,0,hold,0,0,hold,1,,0,0.0
2018-01-19,1039.099976,0.002717525,0,hold,0,0,hold,1,,0,0.0
2018-01-20,1155.150024,0.105875296,0,hold,0,0,hold,1,,0,0.0
2018-01-21,1049.579956,-0.095840185,0,hold,0,0,hold,1,,0,0.0
2018-01-22,1003.26001,-0.045135335,0,hold,0,-1,sell,0,,0,0.0
2018-01-23,986.2290039,-0.017121403,0,hold,0,0,hold,0,,0,0.0
2018-01-24,1058.780029,0.070984025,0,hold,0,0,hold,0,,0,0.0
2018-01-25,1056.030029,-0.002600708,0,hold,0,0,hold,0,,0,0.0
2018-01-26,1055.170044,-0.000814689,0,hold,0,0,hold,0,,0,0.0
2018-01-27,1107.069946,0.048014904,0,hold,0,0,hold,0,,0,0.0
2018-01-28,1246.01001,0.118229617,0,hold,0,0,hold,0,,0,0.0
2018-01-29,1182.359985,-0.052434025,0,hold,0,0,hold,0,,0,0.0
