trade_id,side,direction,entry_date,first_holding_date,exit_date,entry_price,exit_price,holding_periods,gross_trade_return,net_trade_return,fee_units,fee_paid_est,underlying_move_pct,directional_move_pct,pnl_points,is_open_at_end,is_partial_start,is_complete_trade
1,long,1,2018-02-01,2018-02-02,2018-02-13,9170.5400390625,8598.3095703125,12,-0.06239877546061101,-0.06239877546061101,2,0.0,-0.06239877546061057,-0.06239877546061057,-572.23046875,False,False,True
2,long,1,2018-03-09,2018-03-10,2018-04-11,9337.5498046875,6968.31982421875,33,-0.2537314424046647,-0.2537314424046647,2,0.0,-0.25373144240466416,-0.25373144240466416,-2369.22998046875,False,False,True
3,short,-1,2018-04-14,2018-04-15,2018-05-09,7986.240234375,9325.1796875,25,-0.17325964527103466,-0.17325964527103466,2,0.0,0.16765579469571068,-0.16765579469571068,-1338.939453125,False,False,True
4,long,1,2018-05-10,2018-05-11,2018-06-06,9043.9404296875,7653.97998046875,27,-0.15368969532971355,-0.15368969532971355,2,0.0,-0.15368969532971344,-0.15368969532971344,-1389.96044921875,False,False,True
5,long,1,2018-06-09,2018-06-10,2018-07-01,7531.97998046875,6385.81982421875,22,-0.15217249106106423,-0.15217249106106423,2,0.0,-0.15217249106106479,-0.15217249106106479,-1146.16015625,False,False,True
6,short,-1,2018-07-16,2018-07-17,2018-08-01,6741.75,7624.91015625,16,-0.13615311711515787,-0.13615311711515787,2,0.0,0.13099865112915787,-0.13099865112915787,-883.16015625,False,False,True
7,long,1,2018-08-07,2018-08-08,2018-08-22,6753.1201171875,6376.7099609375,15,-0.055738702957761954,-0.055738702957761954,2,0.0,-0.05573870295776184,-0.05573870295776184,-376.41015625,False,False,True
8,short,-1,2018-08-26,2018-08-27,2018-09-04,6707.259765625,7361.66015625,9,-0.09132370507404364,-0.09132370507404364,2,0.0,0.0975659827548101,-0.0975659827548101,-654.400390625,False,False,True
9,long,1,2018-10-10,2018-10-11,2018-10-14,6585.52978515625,6290.93017578125,4,-0.044734382651950955,-0.044734382651950955,2,0.0,-0.044734382651950955,-0.044734382651950955,-294.599609375,False,False,True
10,long,1,2018-11-13,2018-11-14,2018-12-17,6359.490234375,3545.86474609375,34,-0.44242940622390436,-0.44242940622390436,2,0.0,-0.44242940622390436,-0.44242940622390436,-2813.62548828125,False,False,True
11,long,1,2019-01-28,2019-01-29,2019-02-07,3470.450439453125,3399.4716796875,10,-0.020452319087666204,-0.020452319087666204,2,0.0,-0.02045231908766576,-0.02045231908766576,-70.978759765625,False,False,True
12,short,-1,2019-02-17,2019-02-18,2019-03-03,3673.836181640625,3847.17578125,14,-0.057335879632679276,-0.057335879632679276,2,0.0,0.04718217989022211,-0.04718217989022211,-173.339599609375,False,False,True
13,short,-1,2019-03-15,2019-03-16,2019-03-24,3960.9111328125,4022.168212890625,9,-0.016077323924044484,-0.016077323924044484,2,0.0,0.015465401273627721,-0.015465401273627721,-61.257080078125,False,False,True
14,short,-1,2019-04-01,2019-04-02,2019-04-24,4158.18310546875,5464.86669921875,23,-0.2684686572893987,-0.2684686572893987,2,0.0,0.3142438802253511,-0.3142438802253511,-1306.68359375,False,False,True
15,short,-1,2019-05-02,2019-05-03,2019-06-03,5505.28369140625,8208.9951171875,32,-0.37970716362439727,-0.37970716362439727,2,0.0,0.49111209836502057,-0.49111209836502057,-2703.71142578125,False,False,True
16,short,-1,2019-06-16,2019-06-17,2019-07-10,8994.48828125,12156.5126953125,24,-0.3264776492526109,-0.3264776492526109,2,0.0,0.3515513406865054,-0.3515513406865054,-3162.0244140625,False,False,True
17,long,1,2019-07-15,2019-07-16,2019-07-31,10895.08984375,10085.6279296875,16,-0.07429602928211299,-0.07429602928211299,2,0.0,-0.07429602928211287,-0.07429602928211287,-809.4619140625,False,False,True
18,short,-1,2019-08-04,2019-08-05,2019-08-13,10970.1845703125,10895.830078125,9,-0.005528783716847507,-0.005528783716847507,2,0.0,-0.006777870664885444,0.006777870664885444,74.3544921875,False,False,True
