trade_id,side,direction,entry_date,first_holding_date,exit_date,entry_price,exit_price,holding_periods,gross_trade_return,net_trade_return,fee_units,fee_paid_est,underlying_move_pct,directional_move_pct,pnl_points,is_open_at_end,is_partial_start,is_complete_trade
1,long,1,2018-02-03,2018-02-04,2018-02-14,964.0189819335938,923.5609741210938,11,-0.04196806138749554,-0.04196806138749554,2,0.0,-0.04196806138749554,-0.04196806138749554,-40.4580078125,False,False,True
2,long,1,2018-03-06,2018-03-07,2018-04-10,816.9509887695312,414.2430114746094,35,-0.4929401920444081,-0.4929401920444081,2,0.0,-0.4929401920444082,-0.4929401920444082,-402.7079772949219,False,False,True
3,short,-1,2018-04-14,2018-04-15,2018-05-10,501.4779968261719,727.2769775390625,26,-0.36742747821561117,-0.36742747821561117,2,0.0,0.4502669751055093,-0.4502669751055093,-225.79898071289062,False,False,True
4,long,1,2018-05-22,2018-05-23,2018-06-07,647.7410278320312,605.18701171875,16,-0.06569603326766005,-0.06569603326766005,2,0.0,-0.06569603326765971,-0.06569603326765971,-42.55401611328125,False,False,True
5,long,1,2018-06-09,2018-06-10,2018-07-05,597.56201171875,474.4119873046875,26,-0.20608743862390055,-0.20608743862390055,2,0.0,-0.20608743862390067,-0.20608743862390067,-123.1500244140625,False,False,True
6,long,1,2018-07-31,2018-08-01,2018-08-27,433.8670043945313,285.6029968261719,27,-0.3417268565404378,-0.3417268565404378,2,0.0,-0.34172685654043766,-0.34172685654043766,-148.26400756835943,False,False,True
7,long,1,2018-09-04,2018-09-05,2018-09-20,285.7229919433594,224.59100341796875,16,-0.21395544023110713,-0.21395544023110713,2,0.0,-0.21395544023110746,-0.21395544023110746,-61.131988525390625,False,False,True
8,long,1,2018-10-10,2018-10-11,2018-11-03,225.7689971923828,200.18600463867188,24,-0.11331490537609612,-0.11331490537609612,2,0.0,-0.11331490537609601,-0.11331490537609601,-25.582992553710938,False,False,True
9,short,-1,2018-11-05,2018-11-06,2018-11-13,209.09100341796875,206.8260040283203,8,0.007779354861608079,0.007779354861608079,2,0.0,-0.010832600889674526,0.010832600889674526,2.2649993896484375,False,False,True
10,long,1,2018-11-14,2018-11-15,2018-12-17,181.39700317382807,95.13382720947266,33,-0.47554906892089954,-0.47554906892089954,2,0.0,-0.47554906892089965,-0.47554906892089965,-86.26317596435541,False,False,True
11,short,-1,2018-12-22,2018-12-23,2019-01-09,116.7594985961914,150.80311584472656,18,-0.2941995035513103,-0.2941995035513103,2,0.0,0.2915704303105464,-0.2915704303105464,-34.043617248535156,False,False,True
12,long,1,2019-01-28,2019-01-29,2019-02-07,106.58997344970705,104.5353012084961,10,-0.019276411980536312,-0.019276411980536312,2,0.0,-0.01927641198053609,-0.01927641198053609,-2.0546722412109517,False,False,True
