trade_id,side,direction,entry_date,first_holding_date,exit_date,entry_price,exit_price,holding_periods,gross_trade_return,net_trade_return,fee_units,fee_paid_est,underlying_move_pct,directional_move_pct,pnl_points,is_open_at_end,is_partial_start,is_complete_trade
1,long,1,2018-02-08,2018-02-09,2018-02-11,817.8070068359375,814.6599731445312,3,-0.0038481373540464325,-0.0038481373540464325,2,0.0,-0.0038481373540464325,-0.0038481373540464325,-3.14703369140625,False,False,True
2,short,-1,2018-02-13,2018-02-14,2018-02-16,845.2579956054688,944.2100219726562,3,-0.11272132245793931,-0.11272132245793931,2,0.0,0.11706724678339997,-0.11706724678339997,-98.9520263671875,False,False,True
3,short,-1,2018-02-18,2018-02-19,2018-03-05,923.9210205078124,853.6840209960938,15,0.06610107227795536,0.06610107227795536,2,0.0,-0.07602056664228118,0.07602056664228118,70.23699951171864,False,False,True
4,long,1,2018-03-06,2018-03-07,2018-04-02,816.9509887695312,386.4249877929687,27,-0.5269912233352074,-0.5269912233352074,2,0.0,-0.5269912233352074,-0.5269912233352074,-430.52600097656256,False,False,True
5,short,-1,2018-04-05,2018-04-06,2018-05-01,383.23199462890625,673.6129760742188,26,-0.48040203168694207,-0.48040203168694207,2,0.0,0.7577159149420605,-0.7577159149420605,-290.3809814453125,False,False,True
6,short,-1,2018-05-02,2018-05-03,2018-05-04,687.1489868164062,785.6240234375,2,-0.14121181743067135,-0.14121181743067135,2,0.0,0.1433095857091098,-0.1433095857091098,-98.47503662109375,False,False,True
7,long,1,2018-05-06,2018-05-07,2018-06-04,792.3109741210938,592.9849853515625,29,-0.2515754486306878,-0.2515754486306878,2,0.0,-0.2515754486306876,-0.2515754486306876,-199.32598876953125,False,False,True
8,short,-1,2018-06-05,2018-06-06,2018-06-09,609.302978515625,597.56201171875,4,0.019542802018754912,0.019542802018754912,2,0.0,-0.019269505009606558,0.019269505009606558,11.740966796875,False,False,True
9,short,-1,2018-06-11,2018-06-12,2018-06-12,533.2839965820312,496.8429870605469,1,0.0683332141130153,0.0683332141130153,2,0.0,-0.06833321411301518,0.06833321411301518,36.441009521484375,False,False,True
10,short,-1,2018-06-13,2018-06-14,2018-06-21,477.4939880371094,527.3670043945312,8,-0.10736186666086156,-0.10736186666086156,2,0.0,0.10444742259989637,-0.10444742259989637,-49.873016357421875,False,False,True
11,long,1,2018-06-22,2018-06-23,2018-06-29,465.8169860839844,436.0090026855469,7,-0.06399076094031353,-0.06399076094031353,2,0.0,-0.06399076094031331,-0.06399076094031331,-29.8079833984375,False,False,True
12,short,-1,2018-07-01,2018-07-02,2018-07-09,453.9179992675781,476.6820068359375,8,-0.05261697748094285,-0.05261697748094285,2,0.0,0.05015004385173172,-0.05015004385173172,-22.764007568359375,False,False,True
13,short,-1,2018-07-11,2018-07-12,2018-07-21,446.51800537109375,462.4360046386719,10,-0.047318588605166134,-0.047318588605166134,2,0.0,0.035649176687396755,-0.035649176687396755,-15.917999267578125,False,False,True
14,short,-1,2018-07-23,2018-07-24,2018-07-26,450.8529968261719,464.0369873046875,3,-0.03280857994858499,-0.03280857994858499,2,0.0,0.02924232637095847,-0.02924232637095847,-13.183990478515625,False,False,True
15,short,-1,2018-07-29,2018-07-30,2018-07-30,466.6650085449219,457.08099365234375,1,0.020537247741075237,0.020537247741075237,2,0.0,-0.02053724774107535,0.02053724774107535,9.584014892578125,False,False,True
16,long,1,2018-08-01,2018-08-02,2018-08-23,420.74700927734375,277.10400390625,22,-0.3413999439183383,-0.3413999439183383,2,0.0,-0.3413999439183384,-0.3413999439183384,-143.64300537109375,False,False,True
17,short,-1,2018-08-26,2018-08-27,2018-09-05,275.1969909667969,232.33099365234375,10,0.13610158712976772,0.13610158712976772,2,0.0,-0.15576477476683237,0.15576477476683237,42.865997314453125,False,False,True
18,long,1,2018-09-06,2018-09-07,2018-09-14,230.21499633789065,211.74899291992188,8,-0.08021199188460304,-0.08021199188460304,2,0.0,-0.08021199188460293,-0.08021199188460293,-18.46600341796878,False,False,True
19,long,1,2018-09-16,2018-09-17,2018-09-19,220.58900451660156,209.968994140625,3,-0.048143879153220825,-0.048143879153220825,2,0.0,-0.048143879153220936,-0.048143879153220936,-10.620010375976562,False,False,True
20,short,-1,2018-09-20,2018-09-21,2018-10-09,224.59100341796875,227.98199462890625,19,-0.03904330990396454,-0.03904330990396454,2,0.0,0.015098517568964187,-0.015098517568964187,-3.3909912109375,False,False,True
21,long,1,2018-10-10,2018-10-11,2018-10-30,225.7689971923828,197.55599975585935,20,-0.1249640020878624,-0.1249640020878624,2,0.0,-0.12496400208786218,-0.12496400208786218,-28.212997436523466,False,False,True
