trade_id,side,direction,entry_date,first_holding_date,exit_date,entry_price,exit_price,holding_periods,gross_trade_return,net_trade_return,fee_units,fee_paid_est,underlying_move_pct,directional_move_pct,pnl_points,is_open_at_end,is_partial_start,is_complete_trade
1,short,-1,2018-01-15,2018-01-16,2018-01-16,1291.9200439453125,1053.68994140625,1,0.18440003594305,0.18440003594305,2,0.0,-0.1844000359430501,0.1844000359430501,238.2301025390625,False,False,True
2,long,1,2018-02-11,2018-02-12,2018-02-12,814.6599731445312,868.7069702148438,1,0.06634301285442423,0.06634301285442423,2,0.0,0.06634301285442423,0.06634301285442423,54.0469970703125,False,False,True
3,short,-1,2018-02-19,2018-02-20,2018-02-20,943.864990234375,895.3709716796875,1,0.051378130406813494,0.051378130406813494,2,0.0,-0.051378130406813494,0.051378130406813494,48.4940185546875,False,False,True
4,long,1,2018-03-09,2018-03-10,2018-03-11,728.916015625,723.3389892578125,2,-0.007651123377232283,-0.007651123377232283,2,0.0,-0.007651123377232394,-0.007651123377232394,-5.5770263671875,False,False,True
5,long,1,2018-03-12,2018-03-13,2018-04-09,699.8309936523438,398.5260009765625,28,-0.43053965229991087,-0.43053965229991087,2,0.0,-0.430539652299911,-0.430539652299911,-301.30499267578125,False,False,True
6,short,-1,2018-04-12,2018-04-13,2018-04-17,492.9410095214844,502.8940124511719,5,-0.025372981712709408,-0.025372981712709408,2,0.0,0.020191062900912327,-0.020191062900912327,-9.9530029296875,False,False,True
7,short,-1,2018-04-18,2018-04-19,2018-04-26,524.7890014648438,662.8090209960938,8,-0.24665707905033296,-0.24665707905033296,2,0.0,0.26300097590840266,-0.26300097590840266,-138.02001953125,False,False,True
8,short,-1,2018-05-03,2018-05-04,2018-05-04,779.5430297851562,785.6240234375,1,-0.007800715829656912,-0.007800715829656912,2,0.0,0.007800715829656912,-0.007800715829656912,-6.08099365234375,False,False,True
9,short,-1,2018-05-05,2018-05-06,2018-05-06,816.1199951171875,792.3109741210938,1,0.029173431772952618,0.029173431772952618,2,0.0,-0.02917343177295273,0.02917343177295273,23.80902099609375,False,False,True
10,short,-1,2018-05-09,2018-05-10,2018-05-10,752.2750244140625,727.2769775390625,1,0.033229930628722704,0.033229930628722704,2,0.0,-0.033229930628722704,0.033229930628722704,24.998046875,False,False,True
11,long,1,2018-05-19,2018-05-20,2018-05-20,696.530029296875,715.3690185546875,1,0.027046916091801432,0.027046916091801432,2,0.0,0.027046916091801432,0.027046916091801432,18.8389892578125,False,False,True
12,long,1,2018-05-23,2018-05-24,2018-05-24,583.5850219726562,601.7550048828125,1,0.03113510838358624,0.03113510838358624,2,0.0,0.03113510838358624,0.03113510838358624,18.16998291015625,False,False,True
13,long,1,2018-05-27,2018-05-28,2018-05-29,572.6680297851562,565.3880004882812,2,-0.01271247724376412,-0.01271247724376412,2,0.0,-0.012712477243764009,-0.012712477243764009,-7.280029296875,False,False,True
14,long,1,2018-06-17,2018-06-18,2018-06-18,500.447998046875,518.8909912109375,1,0.036852966214353744,0.036852966214353744,2,0.0,0.036852966214353744,0.036852966214353744,18.4429931640625,False,False,True
15,long,1,2018-06-22,2018-06-23,2018-06-23,465.8169860839844,474.5199890136719,1,0.018683309517868008,0.018683309517868008,2,0.0,0.018683309517868008,0.018683309517868008,8.7030029296875,False,False,True
16,long,1,2018-06-28,2018-06-29,2018-06-29,422.364990234375,436.0090026855469,1,0.03230384327924685,0.03230384327924685,2,0.0,0.03230384327924685,0.03230384327924685,13.644012451171875,False,False,True
