strategy,slug,position_col,cumulative_pnl,average_daily_pnl,max_drawdown,annualised_return,sharpe_ratio_rf_3pct,daily_std_dev,annualised_volatility,exposure_rate,total_turnover,number_of_trades_total,number_of_complete_trades,win_rate,average_trade_return,median_trade_return,average_win_return,average_loss_return,profit_factor,payoff_ratio,expectancy_per_trade,best_trade,worst_trade,average_holding_periods,median_holding_periods,long_trades,short_trades,category
BTC Bollinger,btc_bollinger,position,-0.9999965635097035,-0.00392267262349999,-0.9999966311974503,-0.7923900282495417,-2.8529772788591385,0.026810517168220922,0.5122142112944799,0.5450188291680931,212,106,106,0.1320754716981132,-0.10310053828569311,-0.060902533916523505,0.016449235588518216,-0.12129289517959485,0.02063719018638747,0.13561582122483196,-0.10310053828569311,0.03715529856113853,-0.5054160262541864,15.018867924528301,13.0,47,59,mean_reversion
BTC CUSUM Mean Reversion,btc_cusum,position,-0.9999975335203583,-0.003948855730293545,-0.999997827489203,-0.8008181898536628,-2.5788200263149097,0.02985474871557116,0.5703741733437031,0.7689147552208148,353,177,176,0.3068181818181818,-0.06302451699856976,-0.029414510904514635,0.039766372094428924,-0.10852212364629045,0.1621928171733751,0.3664356239842919,-0.06302451699856976,0.1930775629658068,-0.47167069021570485,12.715909090909092,12.0,91,85,mean_reversion
BTC MACD,btc_macd,position,20.947786709600535,0.0013268562156052263,-0.5637262445889561,0.47101275507766327,1.0210472272456919,0.023311665415226977,0.4453687424118285,0.5121533721328312,155,78,77,0.4675324675324675,0.05557681607965812,-0.006559500025959397,0.19735697158324597,-0.06891307655763854,2.51460327815284,2.8638537334518452,0.05557681607965812,0.5864013792792764,-0.2584225582461541,19.01298701298701,19.0,77,0,trend_following
BTC RSI,btc_rsi,position,-0.9377389952959594,-0.0007113886771114807,-0.9616596160739519,-0.29314779782926015,-0.7078355106301275,0.021386752199431727,0.40859332706073737,0.28962684012324547,342,171,171,0.6081871345029239,-0.012033635183217536,0.007107358841653921,0.03255427785386267,-0.08124472407659575,0.6219728598925363,0.40069405396923014,-0.012033635183217536,0.15250543727998767,-0.36232989970713814,4.947368421052632,3.0,93,78,mean_reversion
BTC Turtle,btc_turtle,position,5699.665105829722,0.003509544996324927,-0.4338996819271943,1.9477502919936533,1.9730539014128312,0.03319854662450846,0.6342573426950425,0.9931506849315068,680,85,84,0.5833333333333334,0.13682544924740145,0.032760996140860255,0.2622005156632558,-0.03869964373479468,9.485377292983124,6.775269494987946,0.13682544924740145,2.1069161653283275,-0.1380141063575091,33.61904761904762,27.0,42,42,trend_following
ETH Bollinger,eth_bollinger,position,-0.999999986325605,-0.005480527902057298,-0.9999999871446313,-0.8959301215267418,-2.911465578774056,0.03649453402323742,0.6972270935313905,0.5754878466278671,196,98,98,0.14285714285714285,-0.15362835421904575,-0.11476487384797207,0.008819773380329465,-0.18070304215227498,0.008134684466552598,0.0488081067993156,-0.15362835421904575,0.021661322164790997,-0.5736127951930223,17.153061224489797,16.0,49,49,mean_reversion
ETH CUSUM Mean Reversion,eth_cusum,position,-0.9999999743686238,-0.00514679706305206,-0.9999999795746339,-0.8874303420849373,-2.516782748571352,0.03968425997517526,0.7581667222773059,0.8041766518315645,393,197,196,0.336734693877551,-0.07142932908828004,-0.03444240361870188,0.05940619321275536,-0.13785351733342113,0.21878344424431226,0.43093708714788775,-0.07142932908828004,0.42190089170452194,-0.5736127951930223,11.943877551020408,10.5,101,95,mean_reversion
ETH MACD,eth_macd,position,53.41976569872958,0.0018424002270506891,-0.6147345179010228,0.6477651154220996,1.089449387848617,0.03088878310364849,0.5901293725894753,0.5011982197877439,129,65,64,0.46875,0.09195342806849643,-0.008022906495101012,0.30466138093546624,-0.09573005975530043,2.8080925282866507,3.1825048653915378,0.09195342806849643,0.8243387764345278,-0.33237208639766713,22.390625,21.5,64,0,trend_following
ETH RSI,eth_rsi,position,-0.8578380615626371,-0.00035804307059552677,-0.9140127448997817,-0.2163282842722436,-0.3362675150497815,0.024943367868089154,0.4765423740025961,0.27593289969188634,430,215,215,0.6093023255813953,-0.004433767746773289,0.009307056372314992,0.040045397102793714,-0.07380008435740755,0.8462287108127688,0.5426199367043708,-0.004433767746773289,0.20084612050799855,-0.43053965229991087,3.7488372093023257,2.0,104,111,mean_reversion
ETH Turtle,eth_turtle,position,61530.1361280524,0.00471450597706053,-0.4064820626746727,2.9685957847694673,2.0362585564958944,0.04347349155128039,0.8305598898909249,0.9893835616438356,644,84,83,0.6024096385542169,0.1916110518446986,0.02257124971956137,0.3524047019706477,-0.05201569077037589,10.265104821821181,6.774969182401979,0.1916110518446986,3.8036350515874346,-0.1480137917038582,34.54216867469879,31.0,41,42,trend_following
