trade_id,side,direction,entry_date,first_holding_date,exit_date,entry_price,exit_price,holding_periods,gross_trade_return,net_trade_return,fee_units,fee_paid_est,underlying_move_pct,directional_move_pct,pnl_points,is_open_at_end,is_partial_start,is_complete_trade
1,long,1,2018-02-05,2018-02-06,2018-02-14,697.9509888,923.5609741,9,0.3232461718951003,0.3232461718951003,2,0.0,0.3232461718951003,0.3232461718951003,225.60998529999995,False,False,True
2,long,1,2018-04-10,2018-04-11,2018-04-11,414.2430115,430.5400085,1,0.03934163413158753,0.03934163413158753,2,0.0,0.03934163413158753,0.03934163413158753,16.296996999999976,False,False,True
3,short,-1,2018-04-14,2018-04-15,2018-04-17,501.4779968,502.8940125,3,-0.008181485514219822,-0.008181485514219822,2,0.0,0.0028236846063749432,-0.0028236846063749432,-1.4160156999999458,False,False,True
4,long,1,2018-04-17,2018-04-18,2018-05-09,502.8940125,752.2750244,22,0.49589178972378356,0.49589178972378356,2,0.0,0.495891789723784,0.495891789723784,249.38101190000003,False,False,True
5,short,-1,2018-05-09,2018-05-10,2018-05-10,752.2750244,727.2769775,1,0.03322993066257629,0.03322993066257629,2,0.0,-0.0332299306625764,0.0332299306625764,24.998046899999963,False,False,True
6,long,1,2018-06-05,2018-06-06,2018-06-06,609.3029785,607.1240234,1,-0.003576143851067637,-0.003576143851067637,2,0.0,-0.003576143851067637,-0.003576143851067637,-2.178955099999939,False,False,True
7,long,1,2018-06-13,2018-06-14,2018-06-14,477.493988,519.7420044,1,0.08847863525351873,0.08847863525351873,2,0.0,0.08847863525351873,0.08847863525351873,42.24801640000004,False,False,True
8,long,1,2018-06-15,2018-06-16,2018-06-21,491.0039978,527.3670044,6,0.07405847358255468,0.07405847358255468,2,0.0,0.07405847358255468,0.07405847358255468,36.36300660000006,False,False,True
9,long,1,2018-06-29,2018-06-30,2018-06-30,436.0090027,455.1799927,1,0.04396925265598428,0.04396925265598428,2,0.0,0.04396925265598428,0.04396925265598428,19.170990000000018,False,False,True
10,long,1,2018-07-01,2018-07-02,2018-07-05,453.9179993,474.4119873,4,0.04514909748369589,0.04514909748369589,2,0.0,0.04514909748369611,0.04514909748369611,20.493988,False,False,True
