trade_id,side,direction,entry_date,first_holding_date,exit_date,entry_price,exit_price,holding_periods,gross_trade_return,net_trade_return,fee_units,fee_paid_est,underlying_move_pct,directional_move_pct,pnl_points,is_open_at_end,is_partial_start,is_complete_trade
1,long,1,2018-02-12,2018-02-13,2018-02-14,8926.5703125,9494.6298828125,2,0.0636369345029455,0.0636369345029455,2,0.0,0.0636369345029455,0.0636369345029455,568.0595703125,False,False,True
2,long,1,2018-02-18,2018-02-19,2018-02-19,10551.7998046875,11225.2998046875,1,0.06382797366007709,0.06382797366007709,2,0.0,0.06382797366007709,0.06382797366007709,673.5,False,False,True
3,long,1,2018-03-02,2018-03-03,2018-03-09,11086.400390625,9337.5498046875,7,-0.15774737735580813,-0.15774737735580813,2,0.0,-0.15774737735580813,-0.15774737735580813,-1748.8505859375,False,False,True
4,long,1,2018-04-10,2018-04-11,2018-04-12,6834.759765625,7889.25,2,0.1542834379751712,0.1542834379751712,2,0.0,0.1542834379751712,0.1542834379751712,1054.490234375,False,False,True
5,long,1,2018-04-23,2018-04-24,2018-04-24,8930.8798828125,9697.5,1,0.08583925965266448,0.08583925965266448,2,0.0,0.08583925965266448,0.08583925965266448,766.6201171875,False,False,True
6,long,1,2018-04-25,2018-04-26,2018-05-10,8845.740234375,9043.9404296875,15,0.022406287101025768,0.022406287101025768,2,0.0,0.022406287101025546,0.022406287101025546,198.2001953125,False,False,True
7,long,1,2018-06-05,2018-06-06,2018-06-11,7633.759765625,6906.919921875,6,-0.09521387442960627,-0.09521387442960627,2,0.0,-0.09521387442960638,-0.09521387442960638,-726.83984375,False,False,True
8,long,1,2018-06-20,2018-06-21,2018-06-22,6776.5498046875,6083.68994140625,2,-0.10224374988020923,-0.10224374988020923,2,0.0,-0.10224374988020934,-0.10224374988020934,-692.85986328125,False,False,True
9,long,1,2018-06-30,2018-07-01,2018-07-09,6404.0,6741.75,9,0.05274047470331089,0.05274047470331089,2,0.0,0.05274047470331045,0.05274047470331045,337.75,False,False,True
10,long,1,2018-07-10,2018-07-11,2018-07-11,6329.9501953125,6394.7099609375,1,0.010230691178732654,0.010230691178732654,2,0.0,0.010230691178732654,0.010230691178732654,64.759765625,False,False,True
11,long,1,2018-07-13,2018-07-14,2018-07-14,6238.0498046875,6276.1201171875,1,0.006102918971790272,0.006102918971790272,2,0.0,0.006102918971790272,0.006102918971790272,38.0703125,False,False,True
