trade_id,side,direction,entry_date,first_holding_date,exit_date,entry_price,exit_price,holding_periods,gross_trade_return,net_trade_return,fee_units,fee_paid_est,underlying_move_pct,directional_move_pct,pnl_points,is_open_at_end,is_partial_start,is_complete_trade
1,long,1,2018-04-10,2018-04-11,2018-04-15,414.2430114746094,531.7020263671875,5,0.28355098731648165,0.28355098731648165,2,0.0,0.28355098731648165,0.28355098731648165,117.45901489257812,False,False,True
2,long,1,2018-04-20,2018-04-21,2018-05-17,615.718017578125,672.656982421875,27,0.09247571651015574,0.09247571651015574,2,0.0,0.09247571651015618,0.09247571651015618,56.93896484375,False,False,True
3,long,1,2018-07-05,2018-07-06,2018-07-12,474.4119873046875,430.0740051269531,7,-0.09345881504730758,-0.09345881504730758,2,0.0,-0.09345881504730746,-0.09345881504730746,-44.337982177734375,False,False,True
4,long,1,2018-07-13,2018-07-14,2018-07-15,434.0270080566406,449.8500061035156,2,0.036456252152884616,0.036456252152884616,2,0.0,0.036456252152884616,0.036456252152884616,15.822998046875,False,False,True
5,long,1,2018-07-18,2018-07-19,2018-07-21,480.5130004882813,462.4360046386719,3,-0.03762020139151312,-0.03762020139151312,2,0.0,-0.03762020139151323,-0.03762020139151323,-18.076995849609432,False,False,True
6,long,1,2018-07-27,2018-07-28,2018-07-28,469.6659851074219,466.8980102539063,1,-0.00589349653005522,-0.00589349653005522,2,0.0,-0.00589349653005522,-0.00589349653005522,-2.767974853515568,False,False,True
7,long,1,2018-07-31,2018-08-01,2018-08-03,433.8670043945313,418.2619934082031,3,-0.03596726837549047,-0.03596726837549047,2,0.0,-0.03596726837549036,-0.03596726837549036,-15.605010986328182,False,False,True
8,long,1,2018-08-28,2018-08-29,2018-09-08,296.4989929199219,197.9510040283203,11,-0.33237208639766713,-0.33237208639766713,2,0.0,-0.33237208639766713,-0.33237208639766713,-98.54798889160156,False,False,True
9,long,1,2018-09-16,2018-09-17,2018-09-20,220.5890045166016,224.59100341796875,4,0.018142331754645413,0.018142331754645413,2,0.0,0.018142331754645413,0.018142331754645413,4.001998901367159,False,False,True
10,long,1,2018-09-21,2018-09-22,2018-10-04,246.58399963378903,222.21800231933597,13,-0.0988141864461598,-0.0988141864461598,2,0.0,-0.09881418644615991,-0.09881418644615991,-24.365997314453068,False,False,True
11,long,1,2018-10-07,2018-10-08,2018-11-05,226.11900329589844,209.09100341796875,29,-0.07530547910494245,-0.07530547910494245,2,0.0,-0.07530547910494245,-0.07530547910494245,-17.027999877929688,False,False,True
12,long,1,2018-11-06,2018-11-07,2018-11-09,218.45199584960935,210.07400512695312,3,-0.038351632769809796,-0.038351632769809796,2,0.0,-0.038351632769809796,-0.038351632769809796,-8.377990722656222,False,False,True
13,long,1,2018-12-17,2018-12-18,2018-12-19,95.13382720947266,101.2685775756836,2,0.0644854784692197,0.0644854784692197,2,0.0,0.06448547846921993,0.06448547846921993,6.1347503662109375,False,False,True
14,long,1,2018-12-20,2018-12-21,2018-12-21,116.21687316894533,109.49623107910156,1,-0.057828453877552866,-0.057828453877552866,2,0.0,-0.057828453877552866,-0.057828453877552866,-6.720642089843764,False,False,True
15,long,1,2018-12-23,2018-12-24,2018-12-24,130.7652587890625,140.23800659179688,1,0.07244085998418637,0.07244085998418637,2,0.0,0.07244085998418637,0.07244085998418637,9.472747802734375,False,False,True
16,long,1,2018-12-25,2018-12-26,2018-12-26,129.84434509277344,131.86563110351562,1,0.015566992996868478,0.015566992996868478,2,0.0,0.015566992996868478,0.015566992996868478,2.0212860107421875,False,False,True
17,long,1,2018-12-28,2018-12-29,2018-12-30,137.6470184326172,139.8594512939453,2,0.016073234905637834,0.016073234905637834,2,0.0,0.016073234905637834,0.016073234905637834,2.212432861328125,False,False,True
18,long,1,2018-12-31,2019-01-01,2019-01-16,133.36825561523438,123.54706573486328,16,-0.07363963662166484,-0.07363963662166484,2,0.0,-0.07363963662166428,-0.07363963662166428,-9.821189880371094,False,False,True
19,long,1,2019-02-16,2019-02-17,2019-03-09,123.26021575927734,137.96533203125,21,0.11930139973705,0.11930139973705,2,0.0,0.11930139973705067,0.11930139973705067,14.705116271972656,False,False,True
20,long,1,2019-05-11,2019-05-12,2019-06-04,194.3043365478516,241.3387908935547,24,0.24206590126268157,0.24206590126268157,2,0.0,0.24206590126268157,0.24206590126268157,47.0344543457031,False,False,True
21,long,1,2019-06-22,2019-06-23,2019-06-26,309.3803100585937,336.753173828125,4,0.08847642490353436,0.08847642490353436,2,0.0,0.08847642490353436,0.08847642490353436,27.372863769531307,False,False,True
22,long,1,2019-06-27,2019-06-28,2019-06-29,294.26763916015625,320.05889892578125,2,0.08764558630787112,0.08764558630787112,2,0.0,0.08764558630787134,0.08764558630787134,25.791259765625,False,False,True
23,long,1,2019-08-07,2019-08-08,2019-08-10,226.39100646972656,206.7335357666016,3,-0.08682973325512189,-0.08682973325512189,2,0.0,-0.08682973325512211,-0.08682973325512211,-19.65747070312497,False,False,True
24,long,1,2019-09-07,2019-09-08,2019-09-12,178.2626190185547,181.0160980224609,5,0.01544619404261982,0.01544619404261982,2,0.0,0.01544619404261982,0.01544619404261982,2.7534790039062216,False,False,True
25,long,1,2019-09-16,2019-09-17,2019-09-17,197.11317443847656,208.60874938964844,1,0.05831966830182567,0.05831966830182567,2,0.0,0.05831966830182567,0.05831966830182567,11.495574951171875,False,False,True
26,long,1,2019-09-18,2019-09-19,2019-09-22,211.39303588867188,211.54537963867188,4,0.0007206658883511796,0.0007206658883511796,2,0.0,0.0007206658883514017,0.0007206658883514017,0.15234375,False,False,True
27,long,1,2019-09-23,2019-09-24,2019-09-26,201.9213104248047,166.7271270751953,3,-0.17429652806614326,-0.17429652806614326,2,0.0,-0.17429652806614315,-0.17429652806614315,-35.194183349609375,False,False,True
28,long,1,2019-10-15,2019-10-16,2019-10-20,181.40606689453125,175.5343780517578,5,-0.03236765419861731,-0.03236765419861731,2,0.0,-0.03236765419861731,-0.03236765419861731,-5.8716888427734375,False,False,True
29,long,1,2019-10-28,2019-10-29,2019-10-29,182.66281127929688,190.3425750732422,1,0.04204338989507139,0.04204338989507139,2,0.0,0.04204338989507139,0.04204338989507139,7.6797637939453125,False,False,True
30,long,1,2019-11-04,2019-11-05,2019-11-05,186.35519409179688,189.30416870117188,1,0.01582448304565287,0.01582448304565287,2,0.0,0.01582448304565287,0.01582448304565287,2.948974609375,False,False,True
31,long,1,2019-11-16,2019-11-17,2019-11-17,183.34835815429688,185.1192321777344,1,0.009658521304822587,0.009658521304822587,2,0.0,0.009658521304822587,0.009658521304822587,1.7708740234375284,False,False,True
32,long,1,2019-11-18,2019-11-19,2019-11-19,180.55960083007807,177.45555114746094,1,-0.017191274617062935,-0.017191274617062935,2,0.0,-0.017191274617062935,-0.017191274617062935,-3.1040496826171307,False,False,True
33,long,1,2019-12-29,2019-12-30,2020-01-05,134.7579803466797,136.2767791748047,7,0.0112705668652624,0.0112705668652624,2,0.0,0.011270566865262621,0.011270566865262621,1.518798828125,False,False,True
34,long,1,2020-01-13,2020-01-14,2020-02-26,144.22659301757812,225.6802673339844,44,0.5647618279832689,0.5647618279832689,2,0.0,0.5647618279832682,0.5647618279832682,81.45367431640628,False,False,True
35,long,1,2020-04-02,2020-04-03,2020-05-12,142.02914428710938,189.3125,40,0.3329130506997082,0.3329130506997082,2,0.0,0.3329130506997082,0.3329130506997082,47.283355712890625,False,False,True
36,short,-1,2020-05-30,2020-05-31,2020-05-31,242.34559631347656,230.9757080078125,1,0.046916009527802505,0.046916009527802505,2,0.0,-0.046916009527802616,0.046916009527802616,11.369888305664062,False,False,True
37,short,-1,2020-07-07,2020-07-08,2020-07-15,239.07553100585935,238.42352294921875,8,0.0010970688195890421,0.0010970688195890421,2,0.0,-0.0027272053057768586,0.0027272053057768586,0.6520080566405966,False,False,True
38,long,1,2020-08-07,2020-08-08,2020-08-21,379.5128479003906,389.1263427734375,14,0.02533114471942799,0.02533114471942799,2,0.0,0.025331144719427545,0.025331144719427545,9.613494873046875,False,False,True
39,long,1,2020-10-20,2020-10-21,2020-11-03,369.1369018554688,387.6021728515625,14,0.05002282595773533,0.05002282595773533,2,0.0,0.050022825957735106,0.050022825957735106,18.465270996093693,False,False,True
40,long,1,2020-11-04,2020-11-05,2020-12-09,402.1419982910156,573.4791259765625,35,0.4260612629709881,0.4260612629709881,2,0.0,0.4260612629709877,0.4260612629709877,171.33712768554688,False,False,True
41,long,1,2020-12-18,2020-12-19,2020-12-20,654.8119506835938,638.2908325195312,2,-0.025230324747150923,-0.025230324747150923,2,0.0,-0.025230324747151034,-0.025230324747151034,-16.5211181640625,False,False,True
42,long,1,2020-12-21,2020-12-22,2020-12-22,609.81787109375,634.8541870117188,1,0.04105539884074627,0.04105539884074627,2,0.0,0.04105539884074627,0.04105539884074627,25.03631591796875,False,False,True
43,long,1,2020-12-28,2020-12-29,2021-01-28,730.3973388671875,1332.4921875,31,0.8243387764345278,0.8243387764345278,2,0.0,0.8243387764345278,0.8243387764345278,602.0948486328125,False,False,True
44,long,1,2021-01-29,2021-01-30,2021-01-30,1382.5228271484375,1376.115478515625,1,-0.004634533699547028,-0.004634533699547028,2,0.0,-0.004634533699547028,-0.004634533699547028,-6.4073486328125,False,False,True
45,long,1,2021-02-02,2021-02-03,2021-02-22,1515.1937255859375,1781.992919921875,20,0.17608256279754886,0.17608256279754886,2,0.0,0.17608256279754864,0.17608256279754864,266.7991943359375,False,False,True
46,long,1,2021-04-01,2021-04-02,2021-04-06,1977.27685546875,2118.37890625,5,0.07136180772611112,0.07136180772611112,2,0.0,0.07136180772611089,0.07136180772611089,141.10205078125,False,False,True
47,long,1,2021-04-07,2021-04-08,2021-05-18,1971.0772705078125,3380.070068359375,41,0.7148338722857681,0.7148338722857681,2,0.0,0.7148338722857683,0.7148338722857683,1408.9927978515625,False,False,True
48,long,1,2021-07-03,2021-07-04,2021-07-06,2226.1142578125,2324.679443359375,3,0.04427678642323163,0.04427678642323163,2,0.0,0.04427678642323163,0.04427678642323163,98.565185546875,False,False,True
49,long,1,2021-07-07,2021-07-08,2021-07-10,2315.161865234375,2111.403564453125,3,-0.08801039091088447,-0.08801039091088447,2,0.0,-0.08801039091088458,-0.08801039091088458,-203.75830078125,False,False,True
50,long,1,2021-07-11,2021-07-12,2021-07-15,2139.664794921875,1911.1756591796875,4,-0.10678735112362803,-0.10678735112362803,2,0.0,-0.10678735112362792,-0.10678735112362792,-228.4891357421875,False,False,True
51,long,1,2021-07-24,2021-07-25,2021-07-29,2189.21875,2380.956787109375,5,0.08758285900363982,0.08758285900363982,2,0.0,0.08758285900364005,0.08758285900364005,191.738037109375,False,False,True
52,long,1,2021-07-30,2021-07-31,2021-08-02,2466.96142578125,2610.1533203125,3,0.058043831992996564,0.058043831992996564,2,0.0,0.058043831992996564,0.058043831992996564,143.19189453125,False,False,True
53,long,1,2021-08-03,2021-08-04,2021-08-28,2502.349609375,3244.4033203125,25,0.2965427804961438,0.2965427804961438,2,0.0,0.29654278049614313,0.29654278049614313,742.0537109375,False,False,True
54,long,1,2021-09-01,2021-09-02,2021-09-07,3834.828125,3426.394287109375,6,-0.1065064259928532,-0.1065064259928532,2,0.0,-0.10650642599285332,-0.10650642599285332,-408.433837890625,False,False,True
55,long,1,2021-10-16,2021-10-17,2021-10-17,3830.382080078125,3847.1044921875,1,0.004365729517258554,0.004365729517258554,2,0.0,0.004365729517258554,0.004365729517258554,16.722412109375,False,False,True
56,long,1,2021-10-18,2021-10-19,2021-11-15,3748.76025390625,4557.50390625,28,0.21573629615311596,0.21573629615311596,2,0.0,0.21573629615311618,0.21573629615311618,808.74365234375,False,False,True
57,long,1,2022-02-03,2022-02-04,2022-02-05,2679.16259765625,3014.648193359375,2,0.12522031921340293,0.12522031921340293,2,0.0,0.1252203192134027,0.1252203192134027,335.485595703125,False,False,True
58,long,1,2022-02-10,2022-02-11,2022-02-14,3077.482177734375,2933.47900390625,4,-0.046792528928352506,-0.046792528928352506,2,0.0,-0.046792528928352506,-0.046792528928352506,-144.003173828125,False,False,True
59,long,1,2022-02-27,2022-02-28,2022-03-01,2621.8017578125,2972.485107421875,2,0.133756623117824,0.133756623117824,2,0.0,0.133756623117824,0.133756623117824,350.683349609375,False,False,True
60,long,1,2022-03-05,2022-03-06,2022-03-07,2664.8310546875,2497.771240234375,2,-0.06269058376487424,-0.06269058376487424,2,0.0,-0.06269058376487424,-0.06269058376487424,-167.059814453125,False,False,True
61,long,1,2022-03-09,2022-03-10,2022-03-11,2729.783447265625,2559.56298828125,2,-0.062356762824861356,-0.062356762824861356,2,0.0,-0.062356762824861356,-0.062356762824861356,-170.220458984375,False,False,True
62,long,1,2022-03-16,2022-03-17,2022-03-17,2772.0556640625,2814.8544921875,1,0.015439382650158429,0.015439382650158429,2,0.0,0.015439382650158429,0.015439382650158429,42.798828125,False,False,True
63,long,1,2022-03-21,2022-03-22,2022-04-11,2897.9765625,2981.05224609375,21,0.028666789327683073,0.028666789327683073,2,0.0,0.02866678932768285,0.02866678932768285,83.07568359375,False,False,True
64,long,1,2022-06-02,2022-06-03,2022-06-12,1834.1505126953125,1445.216552734375,10,-0.21205127783618638,-0.21205127783618638,2,0.0,-0.21205127783618638,-0.21205127783618638,-388.9339599609375,False,False,True
65,long,1,2022-06-26,2022-06-27,2022-07-12,1199.8316650390625,1038.191650390625,16,-0.1347189104591392,-0.1347189104591392,2,0.0,-0.1347189104591393,-0.1347189104591393,-161.6400146484375,False,False,True
