trade_id,side,direction,entry_date,first_holding_date,exit_date,entry_price,exit_price,holding_periods,gross_trade_return,net_trade_return,fee_units,fee_paid_est,underlying_move_pct,directional_move_pct,pnl_points,is_open_at_end,is_partial_start,is_complete_trade
1,long,1,2018-02-03,2018-02-04,2018-02-07,964.0189819,757.0679932,4,-0.21467522173901288,-0.21467522173901288,2,0.0,-0.21467522173901288,-0.21467522173901288,-206.95098869999993,False,False,True
2,long,1,2018-02-08,2018-02-09,2018-02-10,817.8070068,860.414978,2,0.05210027652700244,0.05210027652700244,2,0.0,0.05210027652700222,0.05210027652700222,42.607971200000065,False,False,True
3,long,1,2018-02-13,2018-02-14,2018-02-14,845.2579956,923.5609741,1,0.09263796250092526,0.09263796250092526,2,0.0,0.09263796250092526,0.09263796250092526,78.3029785,False,False,True
4,long,1,2018-03-06,2018-03-07,2018-03-13,816.9509888,690.8270264,7,-0.15438375634413593,-0.15438375634413593,2,0.0,-0.15438375634413581,-0.15438375634413581,-126.12396239999998,False,False,True
5,long,1,2018-04-10,2018-04-11,2018-04-14,414.2430115,501.4779968,4,0.21058891249394085,0.21058891249394085,2,0.0,0.21058891249394085,0.21058891249394085,87.2349853,False,False,True
6,short,-1,2018-04-14,2018-04-15,2018-04-23,501.4779968,642.5479736,9,-0.23752807501186746,-0.23752807501186746,2,0.0,0.28130840774707333,-0.28130840774707333,-141.06997679999995,False,False,True
7,long,1,2018-04-23,2018-04-24,2018-04-24,642.5479736,708.15802,1,0.10210917954095611,0.10210917954095611,2,0.0,0.10210917954095611,0.10210917954095611,65.61004639999999,False,False,True
8,short,-1,2018-04-24,2018-04-25,2018-04-25,708.15802,615.4160156,1,0.13096230188849645,0.13096230188849645,2,0.0,-0.13096230188849645,0.13096230188849645,92.74200439999993,False,False,True
9,long,1,2018-04-25,2018-04-26,2018-05-17,615.4160156,672.6569824,22,0.09301182508907035,0.09301182508907035,2,0.0,0.09301182508907058,0.09301182508907058,57.24096679999991,False,False,True
10,long,1,2018-05-22,2018-05-23,2018-05-27,647.7410278,572.6680298,5,-0.11589971111599862,-0.11589971111599862,2,0.0,-0.1158997111159985,-0.1158997111159985,-75.07299799999998,False,False,True
11,long,1,2018-05-28,2018-05-29,2018-06-01,516.0360107,580.0430298,4,0.1240359544156131,0.1240359544156131,2,0.0,0.12403595441561288,0.12403595441561288,64.00701909999998,False,False,True
12,long,1,2018-06-21,2018-06-22,2018-06-22,527.3670044,465.8169861,1,-0.1167119250663533,-0.1167119250663533,2,0.0,-0.1167119250663533,-0.1167119250663533,-61.55001830000003,False,False,True
13,long,1,2018-06-26,2018-06-27,2018-06-27,432.7720032,442.3649902,1,0.02216637612661554,0.02216637612661554,2,0.0,0.02216637612661554,0.02216637612661554,9.59298700000005,False,False,True
14,long,1,2018-07-05,2018-07-06,2018-07-09,474.4119873,476.6820068,4,0.0047849117660772045,0.0047849117660772045,2,0.0,0.0047849117660774265,0.0047849117660774265,2.2700194999999894,False,False,True
15,long,1,2018-07-31,2018-08-01,2018-08-05,433.8670044,410.5159912,5,-0.0538206707659008,-0.0538206707659008,2,0.0,-0.0538206707659008,-0.0538206707659008,-23.35101320000001,False,False,True
16,long,1,2018-08-08,2018-08-09,2018-08-09,356.6130066,365.5880127,1,0.02516735490264077,0.02516735490264077,2,0.0,0.02516735490264077,0.02516735490264077,8.975006099999973,False,False,True
17,long,1,2018-08-28,2018-08-29,2018-09-08,296.4989929,197.951004,11,-0.3323720864483247,-0.3323720864483247,2,0.0,-0.3323720864483246,-0.3323720864483246,-98.54798890000001,False,False,True
18,long,1,2018-09-16,2018-09-17,2018-09-20,220.5890045,224.5910034,4,0.01814233174981328,0.01814233174981328,2,0.0,0.018142331749813057,0.018142331749813057,4.001998900000018,False,False,True
19,long,1,2018-09-25,2018-09-26,2018-09-28,218.5050049,222.4019928,3,0.017834776378616413,0.017834776378616413,2,0.0,0.017834776378616413,0.017834776378616413,3.896987899999999,False,False,True
20,long,1,2018-09-30,2018-10-01,2018-10-04,232.8480072,222.2180023,4,-0.04565211885566878,-0.04565211885566878,2,0.0,-0.04565211885566878,-0.04565211885566878,-10.630004900000017,False,False,True
21,long,1,2018-10-10,2018-10-11,2018-11-03,225.7689972,200.1860046,24,-0.1133149055773014,-0.1133149055773014,2,0.0,-0.1133149055773014,-0.1133149055773014,-25.58299260000001,False,False,True
22,short,-1,2018-11-05,2018-11-06,2018-11-09,209.0910034,210.0740051,4,-0.007326749074038741,-0.007326749074038741,2,0.0,0.0047013103577653315,-0.0047013103577653315,-0.9830016999999884,False,False,True
23,long,1,2018-11-09,2018-11-10,2018-11-10,210.0740051,212.5330048,1,0.011705397337616663,0.011705397337616663,2,0.0,0.011705397337616663,0.011705397337616663,2.4589996999999926,False,False,True
24,short,-1,2018-11-10,2018-11-11,2018-11-13,212.5330048,206.826004,3,0.0272418738022695,0.0272418738022695,2,0.0,-0.026852303741578543,0.026852303741578543,5.707000799999975,False,False,True
25,long,1,2018-11-13,2018-11-14,2018-11-16,206.826004,175.177002,3,-0.15302235399761444,-0.15302235399761444,2,0.0,-0.15302235399761444,-0.15302235399761444,-31.649002000000024,False,False,True
26,long,1,2018-12-17,2018-12-18,2018-12-19,95.13382721,101.2685776,2,0.06448547871892152,0.06448547871892152,2,0.0,0.0644854787189213,0.0644854787189213,6.134750389999994,False,False,True
