asset,date,source,target_position,days_until_combined_confirms,missed_directional_return_until_confirm
BTC,2018-02-13,trend_position,1,,0.0
BTC,2018-03-07,trend_position,1,,0.0
BTC,2018-03-10,trend_position,1,,0.0
BTC,2018-03-20,trend_position,1,,0.0
BTC,2018-03-23,trend_position,1,,0.0
BTC,2018-04-11,trend_position,1,,0.0
BTC,2018-04-15,trend_position,-1,,0.0
BTC,2018-04-28,trend_position,1,,0.0
BTC,2018-06-06,trend_position,1,,0.0
BTC,2018-06-21,trend_position,1,,0.0
BTC,2018-07-01,trend_position,1,,0.0
BTC,2018-07-05,trend_position,1,,0.0
BTC,2018-07-17,trend_position,-1,,0.0
BTC,2018-07-22,trend_position,1,,0.0
BTC,2018-08-08,trend_position,1,,0.0
BTC,2018-08-21,trend_position,1,,0.0
BTC,2018-08-25,trend_position,1,,0.0
BTC,2018-08-30,trend_position,-1,,0.0
BTC,2018-10-02,trend_position,1,,0.0
BTC,2018-10-08,trend_position,1,,0.0
BTC,2018-10-11,trend_position,1,,0.0
BTC,2018-11-14,trend_position,1,,0.0
BTC,2018-12-11,trend_position,1,,-0.04282414509303101
BTC,2019-01-30,trend_position,1,,0.11933087062706194
BTC,2019-02-02,trend_position,1,,0.07844498462337834
BTC,2019-02-18,trend_position,-1,0,-0.06583804009467542
BTC,2019-02-19,trend_position,1,,0.02901451395948995
BTC,2019-02-24,trend_position,-1,0,0.08016830712779921
BTC,2019-02-27,trend_position,1,3,0.002609287757047607
BTC,2019-03-17,trend_position,1,,0.29313759193505873
BTC,2019-03-20,trend_position,-1,0,-0.004000337019458566
BTC,2019-04-01,trend_position,1,,0.3159963976599067
BTC,2019-05-06,trend_position,1,0,-0.008437513242851802
BTC,2019-06-18,trend_position,-1,,-0.24148866794660084
BTC,2019-06-19,trend_position,1,0,0.021114710381221036
BTC,2019-06-30,trend_position,-1,,0.13996944380855436
BTC,2019-07-03,trend_position,1,0,0.1073529339969792
BTC,2019-07-16,trend_position,1,,-0.05356026922965251
BTC,2019-07-29,trend_position,1,,0.021099701302243146
BTC,2019-08-05,trend_position,-1,,-0.0003825178539264007
BTC,2019-09-06,trend_position,1,0,-0.021013642005712985
BTC,2019-09-10,trend_position,1,,-0.1691829000698667
BTC,2019-09-23,trend_position,1,,-0.25378560798876515
BTC,2019-10-10,trend_position,1,0,-0.0010780457889411066
BTC,2019-10-26,trend_position,1,0,0.0674624969992299
